,Value
ticker,GATEWAY.NS
ROCE,14.193524185185142
ROCE (3yr avg),13.558980353911977
NFAT,0.8945496841350795
NFAT (3yr avg),0.9354674042464227
NPM,18.55910522724368
DPR,35.866592836135176
Retention Ratio,64.13340716386482
Dep,6.341962948183759
SSGR,4.7925187687697575
Av NPM (over 3 years),18.55910522724368
Au NFA/T (over 3 years),0.9354674042464227
Av Dep%NFA (over 3 years),6.341962948183759
Au Retention ratio (over 3 years),64.13340716386483
d/e,0.3726497085981463
Interest coverage,5.664744252644977
tax %,3.4146101953771555
cPAT,10907878000.0
CFO,3848684000.0
cCFO,13780484000.0
cCFO/cPAT,1.2633514969639374
p/a,13.972853561922122
p/e,8.686274
EY,11.170150287712149
Earnings Growth 5yr cagr,18.3155872790842
Sales Growth 5yr cagr,7.040238714912106
PEG,0.47425582743499795
no. shares (cr),49.9644
Current Price,66.45
market cap,33201343800.0
d/e_market,0.21691444308347543
p/s,1.7680255
NFA + CWIP,22219319000.0
Capex,7027418800.0
Capex_from_cashflow_statement,160920000.0
FCF,-3178734800.0
FCF%,-85.71160317528798
FCF_capex_from_cashflow,3687764000.0
FCF%_capex_from_cashflow,99.43709823547177
DV,3.0098992559451765
Mcap (cr),3320.1342464
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,True
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,True
EY >7,True
sgr > Sales growth (very linear),False
FCF/CFO,-0.8259277197088667
Market Cap,33201342464
Net Income,3708640000.0
Total Revenue,16805553000.0
Total Assets,34569261000.0
Total Liabilities,10037420000.0
Total Stockholders Equity,19326061000.0
Total Debt,7201851000.0
Cash and Cash Equivalents,279038000.0
Current Assets,4186522000.0
Current Liabilities,3939849000.0
Working Capital,246673000.0
Operating Cash Flow,3848684000.0
Capital Expenditure,160920000.0
Dividends Paid,999327000.0
Depreciation & Amortization,1151863000.0
Interest Expense,477698000.0
Income Tax Expense,132135000.0
Shares Outstanding,499644000
Net Fixed Assets,21594102000.0
Construction in Progress,625217000.0
Net Debt,6922813000.0
3-5yr Average ROA (%),10.596171012785696
3-5yr Average ROE (%),15.268503088257722
ROE,17.93300311773932
ROA,12.13738695736212
insidersPercentHeld,0.32342997
institutionsPercentHeld,0.41992
institutionsFloatPercentHeld,0.62066
institutionsCount,23.0
current,66.45
high,109.0
low,65.0
mean,91.33333
median,94.0
Normalized EBIT,3445659666.6666665
Normalized Net Income,2889983666.6666665
