,Value
ticker,GEOJITFSL.NS
ROCE,19.729571251636717
ROCE (3yr avg),18.922661844266955
NFAT,6.338275428386645
NFAT (3yr avg),6.1079807898169625
NPM,28.40268636348917
DPR,39.9987555937708
Retention Ratio,60.001244406229205
Dep,31.999802764303166
SSGR,72.09219368216837
Av NPM (over 3 years),28.40268636348917
Au NFA/T (over 3 years),6.1079807898169625
Av Dep%NFA (over 3 years),31.999802764303166
Au Retention ratio (over 3 years),60.001244406229205
d/e,0.18734088157020254
Interest coverage,2.8887707850006006
tax %,25.029761356803533
cPAT,5601734000.0
CFO,1667502000.0
cCFO,1634450000.0
cCFO/cPAT,0.29177572515938816
p/a,8.292422157891572
p/e,13.156934
EY,8.327546587555359
Earnings Growth 5yr cagr,2.84767298106654
Sales Growth 5yr cagr,10.86443383629343
PEG,4.620240486698135
no. shares (cr),27.9024992
Current Price,72.1
market cap,20117701923.199997
d/e_market,0.07745646127717054
p/s,2.909486
NFA + CWIP,993018000.0
Capex,318247000.0
Capex_from_cashflow_statement,246099000.0
FCF,1349255000.0
FCF%,80.53758376802874
FCF_capex_from_cashflow,1421403000.0
FCF%_capex_from_cashflow,84.84412744857522
DV,1.7746410666731438
Mcap (cr),2012.3181056
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,True
Interest coverage >3,False
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,0.809147455295406
Market Cap,20123181056
Net Income,1675311000.0
Total Revenue,5840968000.0
Total Assets,20363608000.0
Total Liabilities,7928609000.0
Total Stockholders Equity,8317704000.0
Total Debt,1558246000.0
Cash and Cash Equivalents,0
Current Assets,5788335000.0
Current Liabilities,7431477000.0
Working Capital,-1643142000.0
Operating Cash Flow,1667502000.0
Capital Expenditure,246099000.0
Dividends Paid,357017000.0
Depreciation & Amortization,307007000.0
Interest Expense,324573000.0
Income Tax Expense,557383000.0
Shares Outstanding,279024992
Net Fixed Assets,973125000.0
Construction in Progress,19893000.0
Net Debt,0
3-5yr Average ROA (%),8.667773804638209
3-5yr Average ROE (%),17.69267704609243
ROE,16.834601254291652
ROA,8.25957403349555
insidersPercentHeld,0.67143995
institutionsPercentHeld,0.02242
institutionsFloatPercentHeld,0.06824
institutionsCount,9.0
current,72.1
Normalized EBIT,1970053000.0
Normalized Net Income,1365207000.0
Research Asset,45578600.0
R&D Amortization,12464600.0
Adjusted EBIT (R&D),2556769400.0
Adjusted Book Equity (R&D),8363282600.0
Adjusted D/E (R&D),0.18631990266596993
Adjusted Invested Capital (R&D),9921528600.0
Adjusted ROC (R&D),19.319766116848395
Adjusted ROE (R&D),20.03173969034599
