,Value
ticker,GESHIP.NS
ROCE,16.49646306051303
ROCE (3yr avg),18.756165549653264
NFAT,0.6244577647147771
NFAT (3yr avg),0.6095918331314738
NPM,46.783531368752335
DPR,18.062909294136535
Retention Ratio,81.93709070586347
Dep,8.90085884473401
SSGR,14.466664233497154
Av NPM (over 3 years),46.783531368752335
Au NFA/T (over 3 years),0.6095918331314738
Av Dep%NFA (over 3 years),8.90085884473401
Au Retention ratio (over 3 years),81.93709070586347
d/e,0.17447216968005516
Interest coverage,8.504999082737113
tax %,4.770300078401423
cPAT,81631300000.0
CFO,26473600000.0
cCFO,97525500000.0
cCFO/cPAT,1.1947071772714632
p/a,13.94740317922686
p/e,6.6526227
EY,17.331834720482437
Earnings Growth 5yr cagr,56.3154490486687
Sales Growth 5yr cagr,15.040034781878276
PEG,0.11813139755399445
no. shares (cr),14.2767008
Current Price,947.4
market cap,135257463379.2
d/e_market,0.15991797760807552
p/s,2.6966386
NFA + CWIP,82709700000.0
Capex,5577400000.0
Capex_from_cashflow_statement,11753500000.0
FCF,20896200000.0
FCF%,89.13772363133782
FCF_capex_from_cashflow,14720100000.0
FCF%_capex_from_cashflow,62.79209643981469
DV,3.7048602530354793
Mcap (cr),13525.7464832
d/e decreasing trend 5 yrs,True
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,True
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,True
EY >7,True
sgr > Sales growth (very linear),False
FCF/CFO,0.7893221926749667
Market Cap,135257464832
Net Income,23442600000.0
Total Revenue,52860100000.0
Total Assets,176556600000.0
Total Liabilities,33965000000.0
Total Stockholders Equity,123974500000.0
Total Debt,21630100000.0
Cash and Cash Equivalents,617200000.0
Current Assets,91156600000.0
Current Liabilities,14113900000.0
Working Capital,77042700000.0
Operating Cash Flow,26473600000.0
Capital Expenditure,11753500000.0
Dividends Paid,5011100000.0
Depreciation & Amortization,8132300000.0
Interest Expense,2180400000.0
Income Tax Expense,1174300000.0
Shares Outstanding,142767008
Net Fixed Assets,82511600000.0
Construction in Progress,198100000.0
Net Debt,21012900000.0
3-5yr Average ROA (%),13.02315127560862
3-5yr Average ROE (%),19.142680776151174
ROE,17.588583094399475
ROA,13.604298110001531
insidersPercentHeld,0.30742002
institutionsPercentHeld,0.27091
institutionsFloatPercentHeld,0.39116
institutionsCount,75.0
current,947.4
high,1408.0
low,1345.0
mean,1376.5
median,1376.5
Normalized EBIT,28170300000.0
Normalized Net Income,25111500000.0
