,Value
ticker,GETY
longName,"Getty Images Holdings, Inc."
ROCE,10.346735985117887
ROCE (3yr avg),6.285326259721906
NFAT,4.366532549550115
NFAT (3yr avg),4.427364638509544
NPM,-0.6847196194467923
DPR,0.0
Retention Ratio,100.0
Dep,37.31518358100687
SSGR,-40.346687011439315
Av NPM (over 3 years),-0.6847196194467923
Au NFA/T (over 3 years),4.427364638509544
Av Dep%NFA (over 3 years),37.31518358100687
Au Retention ratio (over 3 years),100.0
d/e,2.139381736349639
Interest coverage,1.5318397662242786
tax %,54.60640561209821
cPAT,98386000.0
CFO,118320000.0
cCFO,603043000.0
cCFO/cPAT,6.129357835464395
p/a,1.5194708507045804
p/e,inf
EY,5.193658990315239
Earnings Growth 5yr cagr,-11.276181435699206
Sales Growth 5yr cagr,0.741888844553662
PEG,-inf
no. shares (cr),41.4811008
Current Price,1.835
market cap,761178199.68
d/e_market,1.7797540714769833
p/s,0.8039245
NFA + CWIP,209745000.0
Capex,50562000.0
Capex_from_cashflow_statement,57450000.0
FCF,67758000.0
FCF%,171.39604887056385
FCF_capex_from_cashflow,60870000.0
FCF%_capex_from_cashflow,153.97263046062784
DV,0.0
Mcap (cr),76.117824
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,True
Interest coverage >3,False
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.5726673427991886
Market Cap,761178240
Net Income,39533000.0
Total Revenue,939287000.0
Total Assets,2563708000.0
Total Liabilities,1845368000.0
Total Stockholders Equity,633225000.0
Total Debt,1354710000.0
Cash and Cash Equivalents,11477000.0
Current Assets,358815000.0
Current Liabilities,453255000.0
Working Capital,-94440000.0
Operating Cash Flow,118320000.0
Capital Expenditure,57450000.0
Dividends Paid,0
Depreciation & Amortization,61293000.0
Interest Expense,131408000.0
Income Tax Expense,47483000.0
Shares Outstanding,414811008
Net Fixed Assets,209745000.0
Construction in Progress,0
Net Debt,1343233000.0
3-5yr Average ROA (%),-1.1554382260858036
3-5yr Average ROE (%),-7.13490005494225
ROE,3.2825089577749753
ROA,0.7628881107957011
insidersPercentHeld,0.69925004
institutionsPercentHeld,0.29031
institutionsFloatPercentHeld,0.96531
institutionsCount,129.0
current,1.835
high,7.0
low,1.85
mean,4.425
median,4.425
Normalized EBIT,134018000.0
Normalized Net Income,-6227333.333333333
