,Value
ticker,GMBREW.NS
ROCE,17.07626363655221
ROCE (3yr avg),19.446581972864205
NFAT,11.964817175570724
NFAT (3yr avg),10.471744981819647
NPM,20.598018500217766
DPR,8.767949496286894
Retention Ratio,91.2320505037131
Dep,9.67128755413762
SSGR,187.11368802490895
Av NPM (over 3 years),20.598018500217766
Au NFA/T (over 3 years),10.471744981819647
Av Dep%NFA (over 3 years),9.67128755413762
Au Retention ratio (over 3 years),91.2320505037131
d/e,0.06773941154810217
Interest coverage,198.4757281553398
tax %,19.332145976165755
cPAT,4737849000.0
CFO,1616772000.0
cCFO,4144521000.0
cCFO/cPAT,0.8747684867120079
p/a,14.065095708176633
p/e,11.996307
EY,8.277245549007805
Earnings Growth 5yr cagr,11.39129958460563
Sales Growth 5yr cagr,11.520112654517822
PEG,1.0531113602009017
no. shares (cr),2.28469
Current Price,682.35
market cap,15589582215.0
d/e_market,0.035731233353003614
p/s,1.0416691
NFA + CWIP,500646000.0
Capex,-70449000.0
Capex_from_cashflow_statement,0
FCF,1687221000.0
FCF%,130.752998322985
FCF_capex_from_cashflow,1616772000.0
FCF%_capex_from_cashflow,125.29347762068464
DV,0.8206955018775016
Mcap (cr),1560.8004608
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,1.0435738619916723
Market Cap,15608004608
Net Income,1290388000.0
Total Revenue,6358732000.0
Total Assets,10975608000.0
Total Liabilities,1589959000.0
Total Stockholders Equity,8223204000.0
Total Debt,557035000.0
Cash and Cash Equivalents,372788000.0
Current Assets,1802229000.0
Current Liabilities,1574863000.0
Working Capital,227366000.0
Operating Cash Flow,1616772000.0
Capital Expenditure,0
Dividends Paid,127943000.0
Depreciation & Amortization,51844000.0
Interest Expense,5665000.0
Income Tax Expense,309243000.0
Shares Outstanding,22846900
Net Fixed Assets,500646000.0
Construction in Progress,0.0
Net Debt,184247000.0
3-5yr Average ROA (%),14.890882491259225
3-5yr Average ROE (%),16.832054654267964
ROE,14.656127801169106
ROA,12.807816890584704
insidersPercentHeld,0.74431
institutionsPercentHeld,0.0007
institutionsFloatPercentHeld,0.00273
institutionsCount,3.0
current,682.35
Normalized EBIT,1579050000.0
Normalized Net Income,1268083000.0
