,Value
ticker,GMRP&UI.NS
ROCE,31.30294831954109
ROCE (3yr avg),34.62781392535489
NFAT,0.7716387365937171
NFAT (3yr avg),5.966500095062667
NPM,14.237156194030428
DPR,0.0
Retention Ratio,100.0
Dep,20.528425797396544
SSGR,64.41756798770804
Av NPM (over 3 years),14.237156194030428
Au NFA/T (over 3 years),5.966500095062667
Av Dep%NFA (over 3 years),20.528425797396544
Au Retention ratio (over 3 years),100.0
d/e,-3.5168002413256456
Interest coverage,0.6895818613503415
tax %,2.160695385862589
cPAT,18497500000.0
CFO,28327400000.0
cCFO,69679700000.0
cCFO/cPAT,3.7669793215299365
p/a,7.281071668883901
p/e,49.043106
EY,17.428496876119524
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,15.645443775316137
PEG,
no. shares (cr),71.4835968
Current Price,113.78
market cap,81334036439.04
d/e_market,1.261375980975609
p/s,1.2754896
NFA + CWIP,84109200000.0
Capex,1615500000.0
Capex_from_cashflow_statement,2703200000.0
FCF,26711900000.0
FCF%,188.4397508341975
FCF_capex_from_cashflow,25624200000.0
FCF%_capex_from_cashflow,180.7665446233942
DV,0.0
Mcap (cr),8134.7919872
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,True
p/b <3,False
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,0.9429704102741515
Market Cap,81347919872
Net Income,14175300000.0
Total Revenue,63439700000.0
Total Assets,169867300000.0
Total Liabilities,162690000000.0
Total Stockholders Equity,-29172200000.0
Total Debt,102592800000.0
Cash and Cash Equivalents,6942400000.0
Current Assets,72174600000.0
Current Liabilities,62935200000.0
Working Capital,9239400000.0
Operating Cash Flow,28327400000.0
Capital Expenditure,2703200000.0
Dividends Paid,0
Depreciation & Amortization,6515000000.0
Interest Expense,15710100000.0
Income Tax Expense,383800000.0
Shares Outstanding,714835968
Net Fixed Assets,79056600000.0
Construction in Progress,5052600000.0
Net Debt,95650400000.0
3-5yr Average ROA (%),5.420039209842064
3-5yr Average ROE (%),-55.78963488319234
ROE,-121.66020829846673
ROA,7.776783870057217
insidersPercentHeld,0.71298
institutionsPercentHeld,0.05456
institutionsFloatPercentHeld,0.19009
institutionsCount,21.0
current,113.78
high,170.0
low,169.0
mean,169.5
median,169.5
Normalized EBIT,24187033333.333332
Normalized Net Income,8324300000.0
