,Value
ticker,GPIL.NS
ROCE,21.984572230014024
ROCE (3yr avg),25.15329748885947
NFAT,1.8277735987419281
NFAT (3yr avg),2.112341250215185
NPM,15.351480908176768
DPR,9.897032756437797
Retention Ratio,90.1029672435622
Dep,5.2918066484347355
SSGR,23.926392859624503
Av NPM (over 3 years),15.351480908176768
Au NFA/T (over 3 years),2.112341250215185
Av Dep%NFA (over 3 years),5.2918066484347355
Au Retention ratio (over 3 years),90.1029672435622
d/e,0.06868948549079752
Interest coverage,18.74923271348619
tax %,25.5526455559422
cPAT,40070777000.0
CFO,8954600000.0
cCFO,42636513000.0
cCFO/cPAT,1.0640301035340543
p/a,14.637237368464676
p/e,19.577175
EY,5.261905189058699
Earnings Growth 5yr cagr,-15.929311312710281
Sales Growth 5yr cagr,0.166061168259235
PEG,-1.2290032265474669
no. shares (cr),64.6902976
Current Price,238.45
market cap,154254014627.19998
d/e_market,0.020020224481440824
p/s,2.8708718
NFA + CWIP,35106000000.0
Capex,3961288000.0
Capex_from_cashflow_statement,5382400000.0
FCF,4993312000.0
FCF%,61.518991708452944
FCF_capex_from_cashflow,3572200000.0
FCF%_capex_from_cashflow,44.01049687680954
DV,0.5148650438171201
Mcap (cr),15433.03168
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.5576253545663681
Market Cap,154330316800
Net Income,8116700000.0
Total Revenue,53757300000.0
Total Assets,61572300000.0
Total Liabilities,12201300000.0
Total Stockholders Equity,44958846000.0
Total Debt,3088200000.0
Cash and Cash Equivalents,3372900000.0
Current Assets,22670100000.0
Current Liabilities,9380700000.0
Working Capital,13289400000.0
Operating Cash Flow,8954600000.0
Capital Expenditure,5382400000.0
Dividends Paid,794200000.0
Depreciation & Amortization,1551900000.0
Interest Expense,553900000.0
Income Tax Expense,2790400000.0
Shares Outstanding,646902976
Net Fixed Assets,30810400000.0
Construction in Progress,4295600000.0
Net Debt,-284700000.0
3-5yr Average ROA (%),15.712482432223453
3-5yr Average ROE (%),20.5057496416827
ROE,17.266131160694272
ROA,13.871771895274351
insidersPercentHeld,0.63568
institutionsPercentHeld,0.06296
institutionsFloatPercentHeld,0.17281
institutionsCount,46.0
current,238.45
high,210.0
low,210.0
mean,210.0
median,210.0
Normalized EBIT,11869619666.666666
Normalized Net Income,8468039666.666667
