,Value
ticker,GPPL.NS
ROCE,21.64647691948629
ROCE (3yr avg),19.000214906756195
NFAT,0.6329159318149956
NFAT (3yr avg),0.6330585737450116
NPM,39.18785706388118
DPR,90.47561666674505
Retention Ratio,9.52438333325495
Dep,8.07331370542861
SSGR,-5.71048479158422
Av NPM (over 3 years),39.18785706388118
Au NFA/T (over 3 years),0.6330585737450116
Av Dep%NFA (over 3 years),8.07331370542861
Au Retention ratio (over 3 years),9.52438333325496
d/e,0.027389615453447466
Interest coverage,78.71958382278906
tax %,28.14827420154893
cPAT,12493670000.0
CFO,4461160000.0
cCFO,16853720000.0
cCFO/cPAT,1.3489807238385518
p/a,13.515963572936199
p/e,19.286419
EY,5.2552999326954675
Earnings Growth 5yr cagr,26.248051711625543
Sales Growth 5yr cagr,9.923649511938294
PEG,0.7347752592036322
no. shares (cr),48.344
Current Price,156.22
market cap,75522996800.0
d/e_market,0.008389630004724601
p/s,7.6121006
NFA + CWIP,14955660000.0
Capex,963550000.0
Capex_from_cashflow_statement,954120000.0
FCF,3497610000.0
FCF%,88.12409296138031
FCF_capex_from_cashflow,3507040000.0
FCF%_capex_from_cashflow,88.36168668870434
DV,4.928591498900901
Mcap (cr),7552.2998272
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,False
DV >3%,True
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.7840135749446332
Market Cap,75522998272
Net Income,3968960000.0
Total Revenue,9142170000.0
Total Assets,29354490000.0
Total Liabilities,5982500000.0
Total Stockholders Equity,23133220000.0
Total Debt,633610000.0
Cash and Cash Equivalents,134540000.0
Current Assets,11404600000.0
Current Liabilities,3560870000.0
Working Capital,7843730000.0
Operating Cash Flow,4461160000.0
Capital Expenditure,954120000.0
Dividends Paid,3722220000.0
Depreciation & Amortization,1170620000.0
Interest Expense,59590000.0
Income Tax Expense,1554860000.0
Shares Outstanding,483440000
Net Fixed Assets,14112720000.0
Construction in Progress,842940000.0
Net Debt,499070000.0
3-5yr Average ROA (%),10.9250001942989
3-5yr Average ROE (%),13.60209379314705
ROE,17.068883249855233
ROA,13.518378146124274
insidersPercentHeld,0.44037
institutionsPercentHeld,0.30044
institutionsFloatPercentHeld,0.53685004
institutionsCount,52.0
current,156.22
high,186.0
low,115.0
mean,150.625
median,159.0
Normalized EBIT,4891936666.666667
Normalized Net Income,3506793333.3333335
