,Value
ticker,GTPL.NS
ROCE,6.167835203430632
ROCE (3yr avg),10.370553182986459
NFAT,1.8862513710764972
NFAT (3yr avg),1.854774824332943
NPM,3.0016933598457647
DPR,58.476635528618964
Retention Ratio,41.52336447138104
Dep,20.457911738453088
SSGR,-18.14611284082559
Av NPM (over 3 years),3.0016933598457647
Au NFA/T (over 3 years),1.854774824332943
Av Dep%NFA (over 3 years),20.457911738453088
Au Retention ratio (over 3 years),41.523364471381036
d/e,0.26944601793869666
Interest coverage,2.1489189462677505
tax %,23.280835802276627
cPAT,4684960000.0
CFO,4519250000.0
cCFO,18849260000.0
cCFO/cPAT,4.023355588948465
p/a,1.5679279955291856
p/e,29.521627
EY,3.670459601122268
Earnings Growth 5yr cagr,-37.855349880922816
Sales Growth 5yr cagr,14.235127779928325
PEG,-0.779853497401629
no. shares (cr),11.2463
Current Price,116.02
market cap,13047957260.0
d/e_market,0.2395118207185176
p/s,0.36592242
NFA + CWIP,19771230000.0
Capex,4156840000.0
Capex_from_cashflow_statement,3846170000.0
FCF,362410000.0
FCF%,75.67234611208553
FCF_capex_from_cashflow,673080000.0
FCF%_capex_from_cashflow,140.54121773991483
DV,3.4475128254673635
Mcap (cr),1304.795648
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,True
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.08019250981910715
Market Cap,13047956480
Net Income,478920000.0
Total Revenue,34771950000.0
Total Assets,32681170000.0
Total Liabilities,19752080000.0
Total Stockholders Equity,11598390000.0
Total Debt,3125140000.0
Cash and Cash Equivalents,1538850000.0
Current Assets,9066020000.0
Current Liabilities,17476970000.0
Working Capital,-8410950000.0
Operating Cash Flow,4519250000.0
Capital Expenditure,3846170000.0
Dividends Paid,449830000.0
Depreciation & Amortization,3687730000.0
Interest Expense,296470000.0
Income Tax Expense,149300000.0
Shares Outstanding,112463000
Net Fixed Assets,18692460000.0
Construction in Progress,1078770000.0
Net Debt,1586290000.0
3-5yr Average ROA (%),3.2397302255913565
3-5yr Average ROE (%),8.08385944746213
ROE,4.1219633634814805
ROA,1.5149478204673588
insidersPercentHeld,0.77888
institutionsPercentHeld,0.074640006
institutionsFloatPercentHeld,0.33754003
institutionsCount,2.0
current,116.02
Normalized EBIT,1485600000.0
Normalized Net Income,896113333.3333334
