,Value
ticker,GUJGASLTD.NS
ROCE,16.330504047784714
ROCE (3yr avg),19.810557256122127
NFAT,1.9859165363255675
NFAT (3yr avg),2.058327331700167
NPM,7.8084578041051325
DPR,27.63396626508174
Retention Ratio,72.36603373491826
Dep,5.9359374546395
SSGR,5.694993536669826
Av NPM (over 3 years),7.8084578041051325
Au NFA/T (over 3 years),2.058327331700167
Av Dep%NFA (over 3 years),5.9359374546395
Au Retention ratio (over 3 years),72.36603373491828
d/e,0.019421222198050366
Interest coverage,42.139735303170205
tax %,25.886627813167596
cPAT,51077700000.0
CFO,18058600000.0
cCFO,74771300000.0
cCFO/cPAT,1.4638736669818728
p/a,9.821777571361245
p/e,25.592659
EY,3.921768273246088
Earnings Growth 5yr cagr,-3.7387537647484814
Sales Growth 5yr cagr,0.21882347751656095
PEG,-6.845237908231623
no. shares (cr),68.8390016
Current Price,425.35
market cap,292806693305.60004
d/e_market,0.005122150668989901
p/s,1.8408927
NFA + CWIP,93040100000.0
Capex,7914200000.0
Capex_from_cashflow_statement,7517300000.0
FCF,10144400000.0
FCF%,88.34122892573498
FCF_capex_from_cashflow,10541300000.0
FCF%_capex_from_cashflow,91.79758255538526
DV,1.3287606086037478
Mcap (cr),29284.073472
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.5617489727885883
Market Cap,292840734720
Net Income,11483200000.0
Total Revenue,164869500000.0
Total Assets,126511100000.0
Total Liabilities,41614700000.0
Total Stockholders Equity,77224800000.0
Total Debt,1499800000.0
Cash and Cash Equivalents,2190700000.0
Current Assets,29651900000.0
Current Liabilities,29643300000.0
Working Capital,8600000.0
Operating Cash Flow,18058600000.0
Capital Expenditure,7517300000.0
Dividends Paid,3890700000.0
Depreciation & Amortization,5106400000.0
Interest Expense,324900000.0
Income Tax Expense,4010900000.0
Shares Outstanding,688390016
Net Fixed Assets,84802000000.0
Construction in Progress,8238100000.0
Net Debt,-690900000.0
3-5yr Average ROA (%),11.48255196758599
3-5yr Average ROE (%),17.94086795379639
ROE,14.166191713360126
ROA,9.434622646315031
insidersPercentHeld,0.74987
institutionsPercentHeld,0.16045
institutionsFloatPercentHeld,0.64148
institutionsCount,66.0
current,425.35
high,615.0
low,350.0
mean,467.0
median,458.5
Normalized EBIT,17387566666.666668
Normalized Net Income,12734666666.666666
