,Value
ticker,GULFOILLUB.NS
ROCE,32.29754975341127
ROCE (3yr avg),29.91255435728714
NFAT,13.167133231269304
NFAT (3yr avg),12.049878020721453
NPM,9.001512761916828
DPR,43.52459843392622
Retention Ratio,56.47540156607378
Dep,17.74757829896404
SSGR,43.50966937797048
Av NPM (over 3 years),9.001512761916828
Au NFA/T (over 3 years),12.049878020721453
Av Dep%NFA (over 3 years),17.74757829896404
Au Retention ratio (over 3 years),56.47540156607379
d/e,0.36035920727405696
Interest coverage,11.587341948227177
tax %,25.46204122800541
cPAT,11111726000.0
CFO,3952523000.0
cCFO,9862702000.0
cCFO/cPAT,0.8875940605446895
p/a,14.940046956056024
p/e,16.65323
EY,5.886496342593056
Earnings Growth 5yr cagr,20.387815449238666
Sales Growth 5yr cagr,18.452881283141842
PEG,0.8168226773222962
no. shares (cr),4.93196
Current Price,1239.5
market cap,61131644200.0
d/e_market,0.0763145349851395
p/s,1.6292814
NFA + CWIP,2880710000.0
Capex,674779000.0
Capex_from_cashflow_statement,533661000.0
FCF,3277744000.0
FCF%,91.08609336303451
FCF_capex_from_cashflow,3418862000.0
FCF%_capex_from_cashflow,95.00765872116031
DV,3.208379270126027
Mcap (cr),6115.618816
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,False
DV >3%,True
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.8292789188070506
Market Cap,61156188160
Net Income,3598512000.0
Total Revenue,36311609000.0
Total Assets,27577273000.0
Total Liabilities,12265323000.0
Total Stockholders Equity,12946063000.0
Total Debt,4665233000.0
Cash and Cash Equivalents,1713658000.0
Current Assets,22322703000.0
Current Liabilities,11618920000.0
Working Capital,10703783000.0
Operating Cash Flow,3952523000.0
Capital Expenditure,533661000.0
Dividends Paid,1961335000.0
Depreciation & Amortization,557695000.0
Interest Expense,359455000.0
Income Tax Expense,1220829000.0
Shares Outstanding,49319600
Net Fixed Assets,2861449000.0
Construction in Progress,19261000.0
Net Debt,2951575000.0
3-5yr Average ROA (%),13.194483761945426
3-5yr Average ROE (%),23.978058061277647
ROE,26.11093456771092
ROA,13.930544514851388
insidersPercentHeld,0.67214996
institutionsPercentHeld,0.109610006
institutionsFloatPercentHeld,0.33433
institutionsCount,40.0
current,1239.5
high,1800.0
low,1490.0
mean,1655.4
median,1672.0
Normalized EBIT,4270914333.3333335
Normalized Net Income,3000387333.3333335
