,Value
ticker,HGINFRA.NS
ROCE,14.441503152206591
ROCE (3yr avg),20.688981230253184
NFAT,3.2219192482665706
NFAT (3yr avg),6.014807803640344
NPM,10.694457558219598
DPR,1.5893102055172594
Retention Ratio,98.41068979448274
Dep,14.30960534023806
SSGR,48.993175949926815
Av NPM (over 3 years),10.694457558219598
Au NFA/T (over 3 years),6.014807803640344
Av Dep%NFA (over 3 years),14.30960534023806
Au Retention ratio (over 3 years),98.41068979448274
d/e,1.6987406676331174
Interest coverage,2.9235291367166414
tax %,25.760825178399884
cPAT,19172790000.0
CFO,-8776710000.0
cCFO,-16494440000.0
cCFO/cPAT,-0.860304629633976
p/a,9.301265149155038
p/e,14.411504
EY,7.937758534452301
Earnings Growth 5yr cagr,9.971357712085748
Sales Growth 5yr cagr,9.63637142756031
PEG,1.4452900413483902
no. shares (cr),6.51711
Current Price,977.1
market cap,63678681810.0
d/e_market,0.6549226336756672
p/s,1.272155
NFA + CWIP,35792050000.0
Capex,29575090000.0
Capex_from_cashflow_statement,15606540000.0
FCF,-38351800000.0
FCF%,-758.7414385932981
FCF_capex_from_cashflow,-24383250000.0
FCF%_capex_from_cashflow,-482.39149616393587
DV,0.1535207658533031
Mcap (cr),6373.9359232
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,True
Interest coverage >3,False
d/e <0.5,False
CFO >0,False
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,4.369723962623808
Market Cap,63739359232
Net Income,5054660000.0
Total Revenue,47996190000.0
Total Assets,87727120000.0
Total Liabilities,58229480000.0
Total Stockholders Equity,24550310000.0
Total Debt,41704610000.0
Cash and Cash Equivalents,4241070000.0
Current Assets,38358970000.0
Current Liabilities,24296950000.0
Working Capital,14062020000.0
Operating Cash Flow,-8776710000.0
Capital Expenditure,15606540000.0
Dividends Paid,97760000.0
Depreciation & Amortization,1443670000.0
Interest Expense,2352530000.0
Income Tax Expense,1753730000.0
Shares Outstanding,65171100
Net Fixed Assets,22290440000.0
Construction in Progress,13501610000.0
Net Debt,37463540000.0
3-5yr Average ROA (%),10.264714346335634
3-5yr Average ROE (%),24.78895414335888
ROE,18.70469680440861
ROA,7.11568610350986
insidersPercentHeld,0.71781
institutionsPercentHeld,0.123959996
institutionsFloatPercentHeld,0.43928
institutionsCount,29.0
current,977.1
high,1987.0
low,1000.0
mean,1505.4
median,1452.0
Normalized EBIT,8728996666.666666
Normalized Net Income,5124143333.333333
