,Value
ticker,HIMS
longName,"Hims & Hers Health, Inc."
ROCE,12.732736562368874
ROCE (3yr avg),-5.731083743368456
NFAT,21.291524568297344
NFAT (3yr avg),33.02763812313121
NPM,-2.2095491530466025
DPR,0.0
Retention Ratio,100.0
Dep,41.91930726115259
SSGR,-114.89549710324683
Av NPM (over 3 years),-2.2095491530466025
Au NFA/T (over 3 years),33.02763812313121
Av Dep%NFA (over 3 years),41.91930726115259
Au Retention ratio (over 3 years),100.0
d/e,0.03297687113586355
Interest coverage,
tax %,-75.75825187209773
cPAT,-70845000.0
CFO,251084000.0
cCFO,263624000.0
cCFO/cPAT,-3.721137694967888
p/a,28.567996264614017
p/e,73.66234
EY,1.0209927461078698
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,75.77394538044564
PEG,
no. shares (cr),21.7641958
Current Price,56.72
market cap,12344651857.76
d/e_market,0.0009190214621458436
p/s,6.5553985
NFA + CWIP,92964000.0
Capex,64321000.0
Capex_from_cashflow_statement,52750000.0
FCF,186763000.0
FCF%,148.17991399419225
FCF_capex_from_cashflow,198334000.0
FCF%_capex_from_cashflow,157.36047858582333
DV,0.0
Mcap (cr),1319.954432
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.743826767137691
Market Cap,13199544320
Net Income,126038000.0
Total Revenue,1476514000.0
Total Assets,707539000.0
Total Liabilities,230823000.0
Total Stockholders Equity,344029000.0
Total Debt,11345000.0
Cash and Cash Equivalents,8901000.0
Current Assets,395831000.0
Current Liabilities,221367000.0
Working Capital,174464000.0
Operating Cash Flow,251084000.0
Capital Expenditure,52750000.0
Dividends Paid,0
Depreciation & Amortization,17088000.0
Interest Expense,
Income Tax Expense,-54327000.0
Shares Outstanding,217641958
Net Fixed Assets,92964000.0
Construction in Progress,0
Net Debt,2444000.0
3-5yr Average ROA (%),-11.261962723731287
3-5yr Average ROE (%),-13.75179863447793
ROE,-7.181176327065892
ROA,-5.8316316358462315
insidersPercentHeld,0.10646
institutionsPercentHeld,0.88848996
institutionsFloatPercentHeld,0.99434996
institutionsCount,691.0
current,56.72
high,85.0
low,25.0
mean,47.41667
median,45.5
Normalized EBIT,-12082333.333333334
Normalized Net Income,12271333.333333334
Research Asset,143894400.0
R&D Amortization,35732400.0
Adjusted EBIT (R&D),104989600.0
Adjusted Book Equity (R&D),487923400.0
Adjusted D/E (R&D),0.023251600558612275
Adjusted Invested Capital (R&D),490367400.0
Adjusted ROC (R&D),37.630536941792606
Adjusted ROE (R&D),25.831513717112152
