,Value
ticker,HOOD
ROCE,13.064456266237784
ROCE (3yr avg),-2.7985627091520136
NFAT,22.787644787644787
NFAT (3yr avg),15.37052368054531
NPM,-18.964433610673204
DPR,0.0
Retention Ratio,100.0
Dep,51.54124667462807
SSGR,-343.0345225756099
Av NPM (over 3 years),-18.964433610673204
Au NFA/T (over 3 years),15.37052368054531
Av Dep%NFA (over 3 years),51.54124667462807
Au Retention ratio (over 3 years),100.0
d/e,1.1145459976105137
Interest coverage,
tax %,-32.61278195488722
cPAT,-3845000000.0
CFO,-157000000.0
cCFO,-713000000.0
cCFO/cPAT,0.18543563068920677
p/a,8.006128007262824
p/e,55.228428
EY,1.6756269624684577
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,17.588322108591758
PEG,
no. shares (cr),77.3964032
Current Price,108.8
market cap,84207286681.59999
d/e_market,0.08862653452092203
p/s,27.106207
NFA + CWIP,178000000.0
Capex,105000000.0
Capex_from_cashflow_statement,50000000.0
FCF,-262000000.0
FCF%,-18.568391211906448
FCF_capex_from_cashflow,-207000000.0
FCF%_capex_from_cashflow,-14.67044649184975
DV,0.0
Mcap (cr),9668.784128
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,False
CFO >0,False
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,1.6687898089171975
Market Cap,96687841280
Net Income,1411000000.0
Total Revenue,2951000000.0
Total Assets,26187000000.0
Total Liabilities,18215000000.0
Total Stockholders Equity,6696000000.0
Total Debt,7463000000.0
Cash and Cash Equivalents,509000000.0
Current Assets,25103000000.0
Current Liabilities,18104000000.0
Working Capital,6999000000.0
Operating Cash Flow,-157000000.0
Capital Expenditure,50000000.0
Dividends Paid,0
Depreciation & Amortization,77000000.0
Interest Expense,
Income Tax Expense,-347000000.0
Shares Outstanding,773964032
Net Fixed Assets,139000000.0
Construction in Progress,39000000.0
Net Debt,6954000000.0
3-5yr Average ROA (%),-0.3232900047109384
3-5yr Average ROE (%),-1.0385004453612947
ROE,19.239160076356697
ROA,6.44130469516788
insidersPercentHeld,0.00736
institutionsPercentHeld,0.72533
institutionsFloatPercentHeld,0.73070997
institutionsCount,1393.0
current,108.8
high,160.0
low,50.0
mean,113.08624
median,120.0
Normalized EBIT,-147000000.0
Normalized Net Income,-52666666.666666664
Research Asset,2482400000.0
R&D Amortization,747000000.0
Adjusted EBIT (R&D),1127000000.0
Adjusted Book Equity (R&D),9178400000.0
Adjusted D/E (R&D),0.813104680554345
Adjusted Invested Capital (R&D),16132400000.0
Adjusted ROC (R&D),9.264251150675529
Adjusted ROE (R&D),15.373049769022924
