,Value
ticker,IBEX
ROCE,18.61754625226551
ROCE (3yr avg),15.941765252359437
NFAT,5.058450245428368
NFAT (3yr avg),4.57486206748589
NPM,5.669431512282421
DPR,
Retention Ratio,
Dep,16.61569314385817
SSGR,
Av NPM (over 3 years),5.669431512282421
Au NFA/T (over 3 years),4.57486206748589
Av Dep%NFA (over 3 years),16.61569314385817
Au Retention ratio (over 3 years),
d/e,0.44690058947480726
Interest coverage,76.71011673151752
tax %,17.886595422827305
cPAT,99782000.0
CFO,35900000.0
cCFO,133842000.0
cCFO/cPAT,1.3413441302038445
p/a,11.473660525562176
p/e,13.43111
EY,8.328097021194479
Earnings Growth 5yr cagr,128.14513176934832
Sales Growth 5yr cagr,4.677975901281295
PEG,0.10481170696499806
no. shares (cr),1.33724
p/s,0.754414
NFA + CWIP,90712000.0
Capex,-2332000.0
FCF,38232000.0
FCF%,113.59976229386422
DV,
Mcap (cr),40.411392
d/e decreasing trend 5 yrs,True
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
net cash flow positive,False
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,True
p/b <3,False
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),False
FCF/CFO,1.064958217270195
Current Price,30.22
Market Cap,404113920
Net Income,33655000.0
Total Revenue,508569000.0
Total Assets,293904000.0
Total Liabilities,128105000.0
Total Stockholders Equity,149964000.0
Total Debt,
Cash and Cash Equivalents,1888000.0
Current Assets,179958000.0
Current Liabilities,70996000.0
Working Capital,108962000.0
Operating Cash Flow,35900000.0
Capital Expenditure,8855000.0
Dividends Paid,
Depreciation & Amortization,19461000.0
Interest Expense,514000.0
Income Tax Expense,7331000.0
Shares Outstanding,13372400
Net Fixed Assets,89007000.0
Construction in Progress,1705000.0
Net Debt,
3-5yr Average ROA (%),8.633576516418405
3-5yr Average ROE (%),20.907125436782124
ROE,21.316620376674912
ROA,11.462328090622382
insidersPercentHeld,0.13052
institutionsPercentHeld,0.9441
institutionsFloatPercentHeld,1.08582
institutionsCount,198.0
current,30.22
high,31.0
low,30.0
mean,30.5
median,30.5
