,Value
ticker,IGL.NS
ROCE,25.14127302528417
ROCE (3yr avg),25.039190706543405
NFAT,1.8137874753307388
NFAT (3yr avg),1.7389669097927072
NPM,15.154824890338267
DPR,36.60888113972561
Retention Ratio,63.39111886027439
Dep,5.235481107378004
SSGR,11.470448911310493
Av NPM (over 3 years),15.154824890338267
Au NFA/T (over 3 years),1.7389669097927072
Av Dep%NFA (over 3 years),5.235481107378004
Au Retention ratio (over 3 years),63.39111886027439
d/e,0.010234213061261543
Interest coverage,289.86490455212925
tax %,21.99016715830875
cPAT,62995400000.0
CFO,15317600000.0
cCFO,72062200000.0
cCFO/cPAT,1.1439279693437934
p/a,15.725469133220527
p/e,17.127064
EY,6.830653930326346
Earnings Growth 5yr cagr,19.18743449755611
Sales Growth 5yr cagr,41.61158823529896
PEG,0.8926187605842492
no. shares (cr),140.0
Current Price,207.58
market cap,290612000000.0
d/e_market,0.0027930711739363825
p/s,1.8963077
NFA + CWIP,97054500000.0
Capex,13788300000.0
Capex_from_cashflow_statement,12290500000.0
FCF,1529300000.0
FCF%,7.704010437919067
FCF_capex_from_cashflow,3027100000.0
FCF%_capex_from_cashflow,15.2493362954455
DV,0.9623484233273228
Mcap (cr),29061.1986432
d/e decreasing trend 5 yrs,True
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.09983940042826553
Market Cap,290611986432
Net Income,19850700000.0
Total Revenue,139466200000.0
Total Assets,142199600000.0
Total Liabilities,45701300000.0
Total Stockholders Equity,79312400000.0
Total Debt,811700000.0
Cash and Cash Equivalents,15600000.0
Current Assets,43634400000.0
Current Liabilities,40800200000.0
Working Capital,2834200000.0
Operating Cash Flow,15317600000.0
Capital Expenditure,12290500000.0
Dividends Paid,2796700000.0
Depreciation & Amortization,4139600000.0
Interest Expense,68100000.0
Income Tax Expense,5591000000.0
Shares Outstanding,1400000000
Net Fixed Assets,81478900000.0
Construction in Progress,15575600000.0
Net Debt,796100000.0
3-5yr Average ROA (%),14.119391448349564
3-5yr Average ROE (%),20.95765756337448
ROE,22.60306377425972
ROA,14.790092403152524
insidersPercentHeld,0.50035
institutionsPercentHeld,0.34979
institutionsFloatPercentHeld,0.70007
institutionsCount,88.0
current,207.58
high,270.0
low,155.0
mean,220.55173
median,225.0
Normalized EBIT,22150100000.0
Normalized Net Income,17089966666.666666
