,Value
ticker,INDRAMEDCO.NS
ROCE,33.0787178077306
ROCE (3yr avg),30.410599372556316
NFAT,3.8269309444875503
NFAT (3yr avg),3.8661405057949416
NPM,9.97262522930593
DPR,24.676150017418582
Retention Ratio,75.32384998258141
Dep,13.106109542485326
SSGR,15.935430426470434
Av NPM (over 3 years),9.97262522930593
Au NFA/T (over 3 years),3.8661405057949416
Av Dep%NFA (over 3 years),13.106109542485326
Au Retention ratio (over 3 years),75.32384998258141
d/e,0.06856999330207636
Interest coverage,31.88835725677831
tax %,25.5778476331361
cPAT,4297200000.0
CFO,1567500000.0
cCFO,5956700000.0
cCFO/cPAT,1.38618169971144
p/a,22.259554228195345
p/e,24.794857
EY,3.8745354939093244
Earnings Growth 5yr cagr,40.068738667342174
Sales Growth 5yr cagr,16.305180462859937
PEG,0.6188080240271931
no. shares (cr),9.1673
Current Price,453.25
market cap,41550787250.0
d/e_market,0.007884327149541553
p/s,3.0270398
NFA + CWIP,3925100000.0
Capex,850100000.0
Capex_from_cashflow_statement,363300000.0
FCF,717400000.0
FCF%,44.56177402323125
FCF_capex_from_cashflow,1204200000.0
FCF%_capex_from_cashflow,74.79967699857134
DV,0.9802461685006942
Mcap (cr),4157.820928
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.4576714513556619
Market Cap,41578209280
Net Income,1609900000.0
Total Revenue,13563600000.0
Total Assets,8516200000.0
Total Liabilities,2549400000.0
Total Stockholders Equity,4777600000.0
Total Debt,327600000.0
Cash and Cash Equivalents,166000000.0
Current Assets,4311300000.0
Current Liabilities,1787100000.0
Working Capital,2524200000.0
Operating Cash Flow,1567500000.0
Capital Expenditure,363300000.0
Dividends Paid,407300000.0
Depreciation & Amortization,443300000.0
Interest Expense,62700000.0
Income Tax Expense,553300000.0
Shares Outstanding,91673000
Net Fixed Assets,3599900000.0
Construction in Progress,325200000.0
Net Debt,161600000.0
3-5yr Average ROA (%),18.927590664993286
3-5yr Average ROE (%),27.77750113598705
ROE,29.967238747626674
ROA,20.44499193579112
insidersPercentHeld,0.57744
institutionsPercentHeld,0.03156
institutionsFloatPercentHeld,0.07469
institutionsCount,11.0
current,453.25
high,590.0
low,590.0
mean,590.0
median,590.0
Normalized EBIT,1701333333.3333333
Normalized Net Income,1237000000.0
