,Value
ticker,INVX
ROCE,14.035416616336096
ROCE (3yr avg),20.37425073347138
NFAT,3.9957128517698846
NFAT (3yr avg),6.62044208103195
NPM,16.0290049972415
DPR,17.811746540768453
Retention Ratio,82.18825345923155
Dep,32.78731675658738
SSGR,54.43011746322692
Av NPM (over 3 years),16.0290049972415
Au NFA/T (over 3 years),6.62044208103195
Av Dep%NFA (over 3 years),32.78731675658738
Au Retention ratio (over 3 years),82.18825345923155
d/e,0.2768689138121312
Interest coverage,35.07942386831276
tax %,1.741450298294261
cPAT,287382000.0
CFO,93439000.0
cCFO,161467000.0
cCFO/cPAT,0.5618549526414319
p/a,29.523458868083313
p/e,8.285714
EY,11.725427414703562
Earnings Growth 5yr cagr,60.66208492455083
Sales Growth 5yr cagr,30.86636622349981
PEG,0.1365880188639321
no. shares (cr),6.87792
p/s,1.3801001
NFA + CWIP,245659000.0
Capex,200086000.0
FCF,-106647000.0
FCF%,-76.0
DV,6.265510235786334
Mcap (cr),119.6758016
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
net cash flow positive,False
cCFO > PAT,False
p/e <10,True
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,True
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,-1.141354252506983
Current Price,17.4
Market Cap,1196758016
Net Income,140325000.0
Total Revenue,660803000.0
Total Assets,1197483000.0
Total Liabilities,239327000.0
Total Stockholders Equity,328921000.0
Total Debt,25023000.0
Cash and Cash Equivalents,5132000.0
Current Assets,641391000.0
Current Liabilities,162658000.0
Working Capital,478733000.0
Operating Cash Flow,93439000.0
Capital Expenditure,13594000.0
Dividends Paid,74983000.0
Depreciation & Amortization,39524000.0
Interest Expense,2430000.0
Income Tax Expense,2487000.0
Shares Outstanding,68779200
Net Fixed Assets,245659000.0
Construction in Progress,0
Net Debt,19891000.0
3-5yr Average ROA (%),13.50088500533445
3-5yr Average ROE (%),20.51303359342242
ROE,21.805222220581985
ROA,16.777430186700844
insidersPercentHeld,0.02554
institutionsPercentHeld,1.0461
institutionsFloatPercentHeld,1.07352
institutionsCount,252.0
current,17.4
high,21.0
low,14.0
mean,18.33333
median,20.0
