,Value
ticker,IONQ
longName,"IonQ, Inc."
ROCE,-49.217345644639146
ROCE (3yr avg),-31.53481992566363
NFAT,0.42242643183625755
NFAT (3yr avg),0.27059259096386307
NPM,-640.519419355206
DPR,0.0
Retention Ratio,100.0
Dep,28.630425286030846
SSGR,-201.95023453202515
Av NPM (over 3 years),-640.519419355206
Au NFA/T (over 3 years),0.27059259096386307
Av Dep%NFA (over 3 years),28.630425286030846
Au Retention ratio (over 3 years),100.0
d/e,0.03654684387848097
Interest coverage,inf
tax %,-0.017793165012002846
cPAT,-644115000.0
CFO,-105683000.0
cCFO,-255729000.0
cCFO/cPAT,0.39702382338557557
p/a,-59.90949817551212
p/e,inf
EY,-1.6692641678855515
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,173.77737859784347
PEG,
no. shares (cr),32.3054568
Current Price,61.5
market cap,19867855932.0
d/e_market,0.0008921445807069385
p/s,415.02982
NFA + CWIP,62231000.0
Capex,38757000.0
Capex_from_cashflow_statement,23569000.0
FCF,-144440000.0
FCF%,43.5523312437622
FCF_capex_from_cashflow,-129252000.0
FCF%_capex_from_cashflow,38.97276320907471
DV,0.0
Mcap (cr),2173.5110656
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,False
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,1.3667288021725348
Market Cap,21735110656
Net Income,-331647000.0
Total Revenue,43073000.0
Total Assets,508388000.0
Total Liabilities,124526000.0
Total Stockholders Equity,484994000.0
Total Debt,17725000.0
Cash and Cash Equivalents,2556000.0
Current Assets,378802000.0
Current Liabilities,36085000.0
Working Capital,342717000.0
Operating Cash Flow,-105683000.0
Capital Expenditure,23569000.0
Dividends Paid,0
Depreciation & Amortization,18654000.0
Interest Expense,0
Income Tax Expense,59000.0
Shares Outstanding,323054568
Net Fixed Assets,62231000.0
Construction in Progress,0
Net Debt,15169000.0
3-5yr Average ROA (%),-13.816156198719263
3-5yr Average ROE (%),-15.96144491133678
ROE,-36.31695010450524
ROA,-29.712948036099018
insidersPercentHeld,0.02971
institutionsPercentHeld,0.41492
institutionsFloatPercentHeld,0.42762002
institutionsCount,633.0
current,61.5
high,100.0
low,32.0
mean,64.625
median,67.5
Normalized EBIT,-158651666.66666666
Normalized Net Income,-179309666.66666666
Research Asset,245161800.0
R&D Amortization,58670800.0
Adjusted EBIT (R&D),-154298800.0
Adjusted Book Equity (R&D),730155800.0
Adjusted D/E (R&D),0.024275640897463254
Adjusted Invested Capital (R&D),745324800.0
Adjusted ROC (R&D),-20.70590628945871
Adjusted ROE (R&D),-45.421401843277835
