,Value
ticker,ITDCEM.NS
ROCE,32.16314402506424
ROCE (3yr avg),27.67345722788077
NFAT,8.608826104315852
NFAT (3yr avg),8.9171458842434
NPM,3.362003475458026
DPR,6.243083343968369
Retention Ratio,93.75691665603163
Dep,16.08545472560829
SSGR,12.022377089706959
Av NPM (over 3 years),3.362003475458026
Au NFA/T (over 3 years),8.9171458842434
Av Dep%NFA (over 3 years),16.08545472560829
Au Retention ratio (over 3 years),93.75691665603163
d/e,0.6435333105666279
Interest coverage,4.739423787868383
tax %,25.75548673377685
cPAT,8395881000.0
CFO,2026969000.0
cCFO,17167989000.0
cCFO/cPAT,2.044810901917262
p/a,6.30030381473174
p/e,30.415094
EY,2.991655535263298
Earnings Growth 5yr cagr,75.56520734671004
Sales Growth 5yr cagr,33.671897093549454
PEG,0.40250129746152563
no. shares (cr),17.1788
Current Price,725.4
market cap,124615015200.0
d/e_market,0.07713731755818139
p/s,1.3462243
NFA + CWIP,11424722000.0
Capex,2095177000.0
Capex_from_cashflow_statement,2278533000.0
FCF,-68208000.0
FCF%,-1.829588213898304
FCF_capex_from_cashflow,-251564000.0
FCF%_capex_from_cashflow,-6.747867250778691
DV,0.2340368049002172
Mcap (cr),12463.0974464
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,-0.03365024329429804
Market Cap,124630974464
Net Income,3728052000.0
Total Revenue,90968837000.0
Total Assets,65048449000.0
Total Liabilities,46664876000.0
Total Stockholders Equity,14937017000.0
Total Debt,9612468000.0
Cash and Cash Equivalents,3001234000.0
Current Assets,51028843000.0
Current Liabilities,44750850000.0
Working Capital,6277993000.0
Operating Cash Flow,2026969000.0
Capital Expenditure,2278533000.0
Dividends Paid,291645000.0
Depreciation & Amortization,1918335000.0
Interest Expense,1499899000.0
Income Tax Expense,1295101000.0
Shares Outstanding,171788000
Net Fixed Assets,11084038000.0
Construction in Progress,340684000.0
Net Debt,6611234000.0
3-5yr Average ROA (%),3.947585567528515
3-5yr Average ROE (%),14.757091361692872
ROE,22.410246725981057
ROA,6.002288308297957
insidersPercentHeld,0.75991994
institutionsPercentHeld,0.090059996
institutionsFloatPercentHeld,0.37512
institutionsCount,38.0
current,725.4
high,875.0
low,781.0
mean,828.0
median,828.0
Normalized EBIT,4917210000.0
Normalized Net Income,2569276666.6666665
