,Value
ticker,JINDRILL.NS
ROCE,14.995925894159019
ROCE (3yr avg),10.112279024967627
NFAT,0.9068255006844317
NFAT (3yr avg),0.941943800009282
NPM,17.760959007211405
DPR,1.667366381915432
Retention Ratio,98.33263361808456
Dep,10.390177490657281
SSGR,6.060700246948667
Av NPM (over 3 years),17.760959007211405
Au NFA/T (over 3 years),0.941943800009282
Av Dep%NFA (over 3 years),10.390177490657281
Au Retention ratio (over 3 years),98.33263361808457
d/e,0.12063503669300406
Interest coverage,9.114935464044253
tax %,18.05518654875318
cPAT,4284007000.0
CFO,8641200000.0
cCFO,10797575000.0
cCFO/cPAT,2.520438225240995
p/a,10.342346024431409
p/e,7.416038
EY,12.22361592297682
Earnings Growth 5yr cagr,49.626033529927625
Sales Growth 5yr cagr,25.400793165022794
PEG,0.14943845946357293
no. shares (cr),2.89811
Current Price,609.45
market cap,17662531395.0
d/e_market,0.09303875889869295
p/s,1.9393016
NFA + CWIP,
Capex,
Capex_from_cashflow_statement,8345100000.0
FCF,
FCF%,
FCF_capex_from_cashflow,296100000.0
FCF%_capex_from_cashflow,13.714682723483094
DV,0.08209468776431861
Mcap (cr),1766.8200448
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,True
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),False
FCF/CFO,
Market Cap,17668200448
Net Income,2159000000.0
Total Revenue,8279500000.0
Total Assets,28272900000.0
Total Liabilities,12390900000.0
Total Stockholders Equity,13622079000.0
Total Debt,1643300000.0
Cash and Cash Equivalents,1619000000.0
Current Assets,9522100000.0
Current Liabilities,9618500000.0
Working Capital,-96400000.0
Operating Cash Flow,8641200000.0
Capital Expenditure,8345100000.0
Dividends Paid,14500000.0
Depreciation & Amortization,891200000.0
Interest Expense,162700000.0
Income Tax Expense,475700000.0
Shares Outstanding,28981100
Net Fixed Assets,12845100000.0
Construction in Progress,
Net Debt,24300000.0
3-5yr Average ROA (%),5.518123798593024
3-5yr Average ROE (%),8.734935802850151
ROE,14.635264500206905
ROA,8.785665391361617
insidersPercentHeld,0.71774
institutionsPercentHeld,0.00439
institutionsFloatPercentHeld,0.015570001
institutionsCount,5.0
current,609.45
Normalized EBIT,1751718333.3333333
Normalized Net Income,1213116333.3333333
