,Value
ticker,JIOFIN.NS
longName,Jio Financial Services Limited
ROCE,1.1373375895587423
ROCE (3yr avg),0.7435525847026282
NFAT,35.40734439245711
NFAT (3yr avg),36.148320600634094
NPM,133.1531001700448
DPR,-1
Retention Ratio,101.0
Dep,62.31657167242991
SSGR,4799.076991781847
Av NPM (over 3 years),133.1531001700448
Au NFA/T (over 3 years),36.148320600634094
Av Dep%NFA (over 3 years),62.31657167242991
Au Retention ratio (over 3 years),-1
d/e,0.02853084270335556
Interest coverage,
tax %,17.171826124474165
cPAT,32500704000.0
CFO,-100833900000.0
cCFO,-87048296000.0
cCFO/cPAT,-2.6783510904871477
p/a,1.1131828771448111
p/e,121.28406
EY,0.8143267833121425
Earnings Growth 5yr cagr,886.5884194451969
Sales Growth 5yr cagr,831.7128150179549
PEG,0.1367986061400354
no. shares (cr),635.3140224
Current Price,311.7
market cap,1980273807820.8
d/e_market,0.02004773271413816
p/s,95.01727
NFA + CWIP,458900000.0
Capex,
Capex_from_cashflow_statement,418000000.0
FCF,
FCF%,
FCF_capex_from_cashflow,-101251900000.0
FCF%_capex_from_cashflow,-627.8837150174563
DV,
Mcap (cr),198027.3917952
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,True
CFO >0,False
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,
Market Cap,1980273917952
Net Income,16125900000.0
Total Revenue,12486400000.0
Total Assets,1335099400000.0
Total Liabilities,100134200000.0
Total Stockholders Equity,1391476600000.0
Total Debt,39700000000.0
Cash and Cash Equivalents,0
Current Assets,142351300000.0
Current Liabilities,333000000.0
Working Capital,142018300000.0
Operating Cash Flow,-100833900000.0
Capital Expenditure,418000000.0
Dividends Paid,
Depreciation & Amortization,225200000.0
Interest Expense,
Income Tax Expense,3343200000.0
Shares Outstanding,6353140224
Net Fixed Assets,392600000.0
Construction in Progress,66300000.0
Net Debt,0
3-5yr Average ROA (%),0.6448122377853243
3-5yr Average ROE (%),0.6609164154895285
ROE,1.2670767724307848
ROA,1.2352539657287562
insidersPercentHeld,0.4774
institutionsPercentHeld,0.20817
institutionsFloatPercentHeld,0.39835
institutionsCount,191.0
current,311.7
high,361.0
low,325.0
mean,343.0
median,343.0
Normalized EBIT,10294966666.666666
Normalized Net Income,10827966666.666666
