,Value
ticker,JTLIND.NS
ROCE,11.009862923519176
ROCE (3yr avg),20.38068216919513
NFAT,9.528467642529646
NFAT (3yr avg),18.93436413280602
NPM,5.5031463876176305
DPR,3.171409524752641
Retention Ratio,96.82859047524735
Dep,5.846059751573683
SSGR,95.04795421370828
Av NPM (over 3 years),5.5031463876176305
Au NFA/T (over 3 years),18.93436413280602
Av Dep%NFA (over 3 years),5.846059751573683
Au Retention ratio (over 3 years),96.82859047524735
d/e,0.09831984976988302
Interest coverage,25.125107737187562
tax %,24.911710178403183
cPAT,3630202000.0
CFO,-2456876000.0
cCFO,-2462389000.0
cCFO/cPAT,-0.6783063311628389
p/a,11.715387766207485
p/e,40.282608
EY,3.391710909139357
Earnings Growth 5yr cagr,7.166457967424877
Sales Growth 5yr cagr,12.277102475913338
PEG,5.620992711197712
no. shares (cr),39.3081984
Current Price,74.12
market cap,29135236654.08
d/e_market,0.026145008157787808
p/s,1.4997351
NFA + CWIP,3513418000.0
Capex,2372569000.0
Capex_from_cashflow_statement,1780237000.0
FCF,-4829445000.0
FCF%,-488.7197007032098
FCF_capex_from_cashflow,-4237113000.0
FCF%_capex_from_cashflow,-428.7781716544405
DV,0.1644366255500828
Mcap (cr),2916.2293248
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,False
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,1.9656852848902426
Market Cap,29162293248
Net Income,988183000.0
Total Revenue,19163111000.0
Total Assets,13390982000.0
Total Liabilities,1204529000.0
Total Stockholders Equity,7747581000.0
Total Debt,761741000.0
Cash and Cash Equivalents,3039161000.0
Current Assets,9714577000.0
Current Liabilities,1025987000.0
Working Capital,8688590000.0
Operating Cash Flow,-2456876000.0
Capital Expenditure,1780237000.0
Dividends Paid,47909000.0
Depreciation & Amortization,92672000.0
Interest Expense,45249000.0
Income Tax Expense,327868000.0
Shares Outstanding,393081984
Net Fixed Assets,2848812000.0
Construction in Progress,664606000.0
Net Debt,-2277420000.0
3-5yr Average ROA (%),15.02991453512076
3-5yr Average ROE (%),19.615091115011932
ROE,9.91621447368751
ROA,9.055142155211307
insidersPercentHeld,0.5694
institutionsPercentHeld,0.036530003
institutionsFloatPercentHeld,0.08482
institutionsCount,8.0
current,74.12
high,141.0
low,86.0
mean,105.8
median,105.0
Normalized EBIT,1396287666.6666667
Normalized Net Income,1006525000.0
