,Value
ticker,KALAMANDIR.NS
ROCE,13.171816631037983
ROCE (3yr avg),18.316886985428038
NFAT,3.2738945642973265
NFAT (3yr avg),3.5787596440051423
NPM,6.801786543918634
DPR,-1
Retention Ratio,101.0
Dep,11.995063240945129
SSGR,12.590315541473224
Av NPM (over 3 years),6.801786543918634
Au NFA/T (over 3 years),3.5787596440051423
Av Dep%NFA (over 3 years),11.995063240945129
Au Retention ratio (over 3 years),-1
d/e,0.3810374997648033
Interest coverage,3.9453823237338628
tax %,40.16956278026906
cPAT,3382600000.0
CFO,1067900000.0
cCFO,2349430000.0
cCFO/cPAT,0.6945633536332998
p/a,5.201505811261909
p/e,24.285345
EY,3.094982807785511
Earnings Growth 5yr cagr,17.803868546062574
Sales Growth 5yr cagr,8.769927760887231
PEG,1.3640487704775175
no. shares (cr),14.735
Current Price,187.24
market cap,27589814000.0
d/e_market,0.14680055472646536
p/s,1.7531368
NFA + CWIP,4644200000.0
Capex,700280000.0
Capex_from_cashflow_statement,525300000.0
FCF,367620000.0
FCF%,43.051879611195695
FCF_capex_from_cashflow,542600000.0
FCF%_capex_from_cashflow,63.54374048483429
DV,0.5338926895266491
Mcap (cr),2758.9814272
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.344245715891001
Market Cap,27589814272
Net Income,853900000.0
Total Revenue,14620100000.0
Total Assets,16406500000.0
Total Liabilities,5088800000.0
Total Stockholders Equity,10629400000.0
Total Debt,4050200000.0
Cash and Cash Equivalents,200400000.0
Current Assets,11250900000.0
Current Liabilities,2513200000.0
Working Capital,8737700000.0
Operating Cash Flow,1067900000.0
Capital Expenditure,525300000.0
Dividends Paid,147300000.0
Depreciation & Amortization,527000000.0
Interest Expense,402800000.0
Income Tax Expense,573300000.0
Shares Outstanding,147350000
Net Fixed Assets,4642400000.0
Construction in Progress,1800000.0
Net Debt,3849800000.0
3-5yr Average ROA (%),6.9410598724806
3-5yr Average ROE (%),16.318976319351634
ROE,7.7814380943268135
ROA,5.203074682614882
insidersPercentHeld,0.63484
institutionsPercentHeld,0.16370001
institutionsFloatPercentHeld,0.4483
institutionsCount,8.0
current,187.24
high,150.0
low,150.0
mean,150.0
median,150.0
Normalized EBIT,1825066666.6666667
Normalized Net Income,946166666.6666666
