,Value
ticker,KCP.NS
ROCE,12.039352010411672
ROCE (3yr avg),11.5853162806654
NFAT,2.466255927417579
NFAT (3yr avg),2.517274660137336
NPM,4.7779383552979375
DPR,44.968099853592406
Retention Ratio,55.031900146407594
Dep,8.725673038708328
SSGR,-2.1067755536552712
Av NPM (over 3 years),4.7779383552979375
Au NFA/T (over 3 years),2.517274660137336
Av Dep%NFA (over 3 years),8.725673038708328
Au Retention ratio (over 3 years),55.03190014640759
d/e,0.3844244800714747
Interest coverage,8.021746082507196
tax %,-1.1082216443288657
cPAT,5654906000.0
CFO,1600200000.0
cCFO,3327566000.0
cCFO/cPAT,0.5884387821831167
p/a,5.200007070510668
p/e,14.536126
EY,5.671196281866094
Earnings Growth 5yr cagr,-7.868080913923404
Sales Growth 5yr cagr,6.213926204852949
PEG,-1.8474804922604167
no. shares (cr),12.8921
Current Price,201.18
market cap,25936326780.0
d/e_market,0.20903114176447773
p/s,1.0325675
NFA + CWIP,12893500000.0
Capex,4087600000.0
Capex_from_cashflow_statement,2023600000.0
FCF,-2487400000.0
FCF%,-169.10734924196072
FCF_capex_from_cashflow,-423400000.0
FCF%_capex_from_cashflow,-28.785097559317425
DV,4.421983150229263
Mcap (cr),2596.3083776
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,True
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,-1.5544306961629797
Market Cap,25963083776
Net Income,1470900000.0
Total Revenue,25198600000.0
Total Assets,30985600000.0
Total Liabilities,11473200000.0
Total Stockholders Equity,14102900000.0
Total Debt,5421500000.0
Cash and Cash Equivalents,2083100000.0
Current Assets,19083400000.0
Current Liabilities,7627200000.0
Working Capital,11456200000.0
Operating Cash Flow,1600200000.0
Capital Expenditure,2023600000.0
Dividends Paid,1146900000.0
Depreciation & Amortization,849500000.0
Interest Expense,312700000.0
Income Tax Expense,-27700000.0
Shares Outstanding,128921000
Net Fixed Assets,10950200000.0
Construction in Progress,1943300000.0
Net Debt,3338400000.0
3-5yr Average ROA (%),4.518998795653892
3-5yr Average ROE (%),9.261347488644082
ROE,9.996262190356452
ROA,4.963212033992384
insidersPercentHeld,0.51088
institutionsPercentHeld,0.01809
institutionsFloatPercentHeld,0.03697
institutionsCount,7.0
current,201.18
Normalized EBIT,2451966666.6666665
Normalized Net Income,1257933333.3333333
Research Asset,710113600.0
R&D Amortization,181626800.0
Adjusted EBIT (R&D),2959273200.0
Adjusted Book Equity (R&D),14813013600.0
Adjusted D/E (R&D),0.36599574849509353
Adjusted Invested Capital (R&D),18151413600.0
Adjusted ROC (R&D),16.483942088770558
Adjusted ROE (R&D),9.929782282789507
