,Value
ticker,KKR
ROCE,2.9855380779354688
ROCE (3yr avg),2.321834779595212
NFAT,13.678598303661474
NFAT (3yr avg),9.43903167701795
NPM,10.299830495671358
DPR,-20.676376400813727
Retention Ratio,120.67637640081372
Dep,0.0
SSGR,117.3220876002446
Av NPM (over 3 years),10.299830495671358
Au NFA/T (over 3 years),9.43903167701795
Av Dep%NFA (over 3 years),0.0
Au Retention ratio (over 3 years),120.67637640081374
d/e,2.223068387021586
Interest coverage,0.2801636703193126
tax %,16.285417818103202
cPAT,11019248000.0
CFO,6649878000.0
cCFO,-7299901000.0
cCFO/cPAT,-0.6624681647967267
p/a,0.9695245164177193
p/e,66.07548
EY,2.464858239629233
Earnings Growth 5yr cagr,-24.144434785686265
Sales Growth 5yr cagr,10.34686575346393
PEG,-2.7366753699768545
no. shares (cr),89.0948992
Current Price,140.08
market cap,124804134799.36002
d/e_market,0.4071695227220996
p/s,6.052593
NFA + CWIP,1769374000.0
Capex,374639000.0
Capex_from_cashflow_statement,141536000.0
FCF,6275239000.0
FCF%,203.99022184513913
FCF_capex_from_cashflow,6508342000.0
FCF%_capex_from_cashflow,211.5677392405351
DV,0.49042285416583703
Mcap (cr),12964.6419968
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,False
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.9436622747063931
Market Cap,129646419968
Net Income,3076245000.0
Total Revenue,21640288000.0
Total Assets,360099411000.0
Total Liabilities,298114719000.0
Total Stockholders Equity,22858694000.0
Total Debt,50816440000.0
Cash and Cash Equivalents,0
Current Assets,218748787000.0
Current Liabilities,53074454000.0
Working Capital,165674333000.0
Operating Cash Flow,6649878000.0
Capital Expenditure,141536000.0
Dividends Paid,612068000.0
Depreciation & Amortization,0
Interest Expense,3305914000.0
Income Tax Expense,954396000.0
Shares Outstanding,890948992
Net Fixed Assets,1769374000.0
Construction in Progress,0
Net Debt,0
3-5yr Average ROA (%),0.6581513931737857
3-5yr Average ROE (%),9.425368131261939
ROE,13.228241973782042
ROA,0.908259238733144
insidersPercentHeld,0.23586
institutionsPercentHeld,0.61755
institutionsFloatPercentHeld,0.80816
institutionsCount,1754.0
current,140.08
high,187.0
low,135.0
mean,164.47221
median,166.0
Normalized EBIT,6670888333.333333
Normalized Net Income,2095614000.0
