,Value
ticker,KOPRAN.NS
ROCE,11.041891535699879
ROCE (3yr avg),11.378102113187104
NFAT,2.2659389751916326
NFAT (3yr avg),2.495758284451217
NPM,6.4607203629079875
DPR,39.66962241785565
Retention Ratio,60.330377582144344
Dep,5.7199986057230605
SSGR,4.0079106066872106
Av NPM (over 3 years),6.4607203629079875
Au NFA/T (over 3 years),2.495758284451217
Av Dep%NFA (over 3 years),5.7199986057230605
Au Retention ratio (over 3 years),60.330377582144344
d/e,0.300842491864041
Interest coverage,6.13621518594267
tax %,25.78837543263919
cPAT,1777723000.0
CFO,419421000.0
cCFO,857481000.0
cCFO/cPAT,0.4823479248454343
p/a,5.186962274411897
p/e,21.674967
EY,5.094850487619425
Earnings Growth 5yr cagr,-16.59265833884096
Sales Growth 5yr cagr,9.90357907968824
PEG,-1.3062986386733526
no. shares (cr),4.82856
Current Price,156.71
market cap,7566836376.0
d/e_market,0.19530936398828772
p/s,1.2099503
NFA + CWIP,3954148000.0
Capex,710076000.0
Capex_from_cashflow_statement,589189000.0
FCF,-290655000.0
FCF%,-75.3931712833868
FCF_capex_from_cashflow,-169768000.0
FCF%_capex_from_cashflow,-44.03622130167385
DV,1.9113932535760172
Mcap (cr),756.6836736
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,-0.6929910519501885
Market Cap,7566836736
Net Income,385519000.0
Total Revenue,6296044000.0
Total Assets,8440127000.0
Total Liabilities,3256648000.0
Total Stockholders Equity,4912451000.0
Total Debt,1477874000.0
Cash and Cash Equivalents,896723000.0
Current Assets,5097491000.0
Current Liabilities,2889674000.0
Working Capital,2207817000.0
Operating Cash Flow,419421000.0
Capital Expenditure,589189000.0
Dividends Paid,144632000.0
Depreciation & Amortization,155944000.0
Interest Expense,93389000.0
Income Tax Expense,133967000.0
Shares Outstanding,48285600
Net Fixed Assets,2960316000.0
Construction in Progress,993832000.0
Net Debt,581151000.0
3-5yr Average ROA (%),5.498228220822199
3-5yr Average ROE (%),8.294429505756982
ROE,7.637117135320867
ROA,4.857670037320314
insidersPercentHeld,0.48459
institutionsPercentHeld,0.00399
institutionsFloatPercentHeld,0.00773
institutionsCount,5.0
current,156.71
Normalized EBIT,593318000.0
Normalized Net Income,389137000.0
