,Value
ticker,KSL.NS
ROCE,18.735544395368443
ROCE (3yr avg),17.803379466864364
NFAT,1.7570924206410663
NFAT (3yr avg),2.4117242925919906
NPM,11.632358717746506
DPR,20.239363242291333
Retention Ratio,79.76063675770867
Dep,7.061850881805461
SSGR,15.314231733217614
Av NPM (over 3 years),11.632358717746506
Au NFA/T (over 3 years),2.4117242925919906
Av Dep%NFA (over 3 years),7.061850881805461
Au Retention ratio (over 3 years),79.76063675770865
d/e,0.26049936928479456
Interest coverage,17.493146048400746
tax %,26.00604086535685
cPAT,9149620000.0
CFO,3818330000.0
cCFO,8416210000.0
cCFO/cPAT,0.9198425726970082
p/a,9.957420714198834
p/e,13.974696
EY,6.901615141732491
Earnings Growth 5yr cagr,1.7944993763679973
Sales Growth 5yr cagr,5.309995228946618
PEG,7.787517891638551
no. shares (cr),4.36531
Current Price,850.5
market cap,37126961550.0
d/e_market,0.11786501823228246
p/s,1.8911384
NFA + CWIP,15481970000.0
Capex,1153930000.0
Capex_from_cashflow_statement,251090000.0
FCF,2664400000.0
FCF%,103.98226634821025
FCF_capex_from_cashflow,3567240000.0
FCF%_capex_from_cashflow,139.21697185407203
DV,1.1757762600963504
Mcap (cr),3712.69632
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.697791966645104
Market Cap,37126963200
Net Income,2562360000.0
Total Revenue,19571330000.0
Total Assets,27321350000.0
Total Liabilities,8405680000.0
Total Stockholders Equity,16798390000.0
Total Debt,4375970000.0
Cash and Cash Equivalents,303570000.0
Current Assets,15411370000.0
Current Liabilities,7891170000.0
Working Capital,7520200000.0
Operating Cash Flow,3818330000.0
Capital Expenditure,251090000.0
Dividends Paid,436530000.0
Depreciation & Amortization,633880000.0
Interest Expense,177270000.0
Income Tax Expense,900610000.0
Shares Outstanding,43653100
Net Fixed Assets,11128130000.0
Construction in Progress,4353840000.0
Net Debt,4072400000.0
3-5yr Average ROA (%),8.953967065181276
3-5yr Average ROE (%),13.913995591349865
ROE,14.349732590373254
ROA,9.659346649446645
insidersPercentHeld,0.65189004
institutionsPercentHeld,0.117639996
institutionsFloatPercentHeld,0.33793998
institutionsCount,11.0
current,850.5
Normalized EBIT,3249423333.3333335
Normalized Net Income,2240156666.6666665
