,Value
ticker,LCID
longName,"Lucid Group, Inc."
ROCE,-31.591815755472354
ROCE (3yr avg),-29.09408036843622
NFAT,0.24830114249963078
NFAT (3yr avg),0.2648787052227148
NPM,-341.86251560168915
DPR,0.0
Retention Ratio,100.0
Dep,9.239716519265036
SSGR,-99.79181701602059
Av NPM (over 3 years),-341.86251560168915
Au NFA/T (over 3 years),0.2648787052227148
Av Dep%NFA (over 3 years),9.239716519265036
Au Retention ratio (over 3 years),100.0
d/e,0.5105194229147275
Interest coverage,-91.13738116210551
tax %,-0.04419880541577289
cPAT,-9426583000.0
CFO,-2019674000.0
cCFO,-7793818000.0
cCFO/cPAT,0.8267914259069272
p/a,-31.881027892619016
p/e,inf
EY,-37.12304226139695
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,210.02151805853995
PEG,
no. shares (cr),30.73
Current Price,23.79
market cap,7310667000.0
d/e_market,0.33880396959675496
p/s,7.8694706
NFA + CWIP,4147032000.0
Capex,224581000.0
Capex_from_cashflow_statement,883841000.0
FCF,-2244255000.0
FCF%,82.69355056224488
FCF_capex_from_cashflow,-2903515000.0
FCF%_capex_from_cashflow,106.9851529620014
DV,0.0
Mcap (cr),731.0667264
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,False
CFO >0,False
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,1.1111966584706245
Market Cap,7310667264
Net Income,-2713942000.0
Total Revenue,807832000.0
Total Assets,9647931000.0
Total Liabilities,5775119000.0
Total Stockholders Equity,4851692000.0
Total Debt,2476883000.0
Cash and Cash Equivalents,270218000.0
Current Assets,4873936000.0
Current Liabilities,1165291000.0
Working Capital,3708645000.0
Operating Cash Flow,-2019674000.0
Capital Expenditure,883841000.0
Dividends Paid,0
Depreciation & Amortization,295337000.0
Interest Expense,32923000.0
Income Tax Expense,1199000.0
Shares Outstanding,307300000
Net Fixed Assets,3474498000.0
Construction in Progress,672534000.0
Net Debt,2206665000.0
3-5yr Average ROA (%),-25.53145777490083
3-5yr Average ROE (%),-46.53334036984311
ROE,-61.47808272073587
ROA,-34.509853491554026
insidersPercentHeld,0.0152
institutionsPercentHeld,0.74514997
institutionsFloatPercentHeld,0.75666
institutionsCount,578.0
current,23.79
high,70.0
low,10.0
mean,23.79091
median,20.0
Normalized EBIT,-2251928000.0
Normalized Net Income,-2282274000.0
Research Asset,2719043800.0
R&D Amortization,737032400.0
Adjusted EBIT (R&D),-2240399400.0
Adjusted Book Equity (R&D),7570735800.0
Adjusted D/E (R&D),0.3271654255851855
Adjusted Invested Capital (R&D),9777400800.0
Adjusted ROC (R&D),-22.924186863356795
Adjusted ROE (R&D),-35.84779698691903
