,Value
ticker,LEU
longName,Centrus Energy Corp.
ROCE,10.13929815162068
ROCE (3yr avg),21.059878803545704
NFAT,53.90243902439025
NFAT (3yr avg),53.18061547726588
NPM,20.228933485932867
DPR,0.0
Retention Ratio,100.0
Dep,100.0
SSGR,975.7871332305835
Av NPM (over 3 years),20.228933485932867
Au NFA/T (over 3 years),53.18061547726588
Av Dep%NFA (over 3 years),100.0
Au Retention ratio (over 3 years),100.0
d/e,4.860681114551084
Interest coverage,17.88888888888889
tax %,-0.273972602739726
cPAT,384800000.0
CFO,37000000.0
cCFO,116700000.0
cCFO/cPAT,0.3032744282744283
p/a,9.193669932177844
p/e,49.531948
EY,1.3498802527739278
Earnings Growth 5yr cagr,-23.502283867105877
Sales Growth 5yr cagr,14.004765426435117
PEG,-2.107537645280747
no. shares (cr),1.7488642
Current Price,310.07
market cap,5422703224.94
d/e_market,0.028952349683812384
p/s,12.725487
NFA + CWIP,9400000.0
Capex,13200000.0
Capex_from_cashflow_statement,4100000.0
FCF,23800000.0
FCF%,32.51366120218579
FCF_capex_from_cashflow,32900000.0
FCF%_capex_from_cashflow,44.94535519125683
DV,0.0
Mcap (cr),555.9764992
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.6432432432432432
Market Cap,5559764992
Net Income,73200000.0
Total Revenue,442000000.0
Total Assets,1093400000.0
Total Liabilities,932000000.0
Total Stockholders Equity,32300000.0
Total Debt,157000000.0
Cash and Cash Equivalents,38300000.0
Current Assets,1015200000.0
Current Liabilities,346800000.0
Working Capital,668400000.0
Operating Cash Flow,37000000.0
Capital Expenditure,4100000.0
Dividends Paid,0.0
Depreciation & Amortization,10800000.0
Interest Expense,2700000.0
Income Tax Expense,-200000.0
Shares Outstanding,17488642
Net Fixed Assets,9400000.0
Construction in Progress,0
Net Debt,118700000.0
3-5yr Average ROA (%),9.705123665490454
3-5yr Average ROE (%),-226.08054226475278
ROE,-403.82775119617224
ROA,11.240593993474063
insidersPercentHeld,0.045100003
institutionsPercentHeld,0.75621
institutionsFloatPercentHeld,0.79193
institutionsCount,429.0
current,310.07
high,310.0
low,108.0
mean,244.712
median,252.0
Normalized EBIT,76600000.0
Normalized Net Income,69933333.33333333
