,Value
ticker,LICHSGFIN.NS
ROCE,
ROCE (3yr avg),0.0
NFAT,26.021440309625103
NFAT (3yr avg),23.809399404521443
NPM,54.64948413510759
DPR,11.63393745450579
Retention Ratio,88.3660625454942
Dep,23.88911460143339
SSGR,1125.9048141494081
Av NPM (over 3 years),54.64948413510759
Au NFA/T (over 3 years),23.809399404521443
Av Dep%NFA (over 3 years),23.88911460143339
Au Retention ratio (over 3 years),88.36606254549422
d/e,8.34072335455963
Interest coverage,0.0
tax %,20.87787802048595
cPAT,153816200000.0
CFO,-166091700000.0
cCFO,-601328400000.0
cCFO/cPAT,-3.9093957593543465
p/a,1.8680402394972144
p/e,5.604561
EY,17.65494428042674
Earnings Growth 5yr cagr,31.895071694166965
Sales Growth 5yr cagr,14.347421812117368
PEG,0.1757187145945489
no. shares (cr),55.0062976
Current Price,560.4
market cap,308255291750.39996
d/e_market,8.516910723874357
p/s,3.6469085
NFA + CWIP,3235100000.0
Capex,934500000.0
Capex_from_cashflow_statement,733500000.0
FCF,-167026200000.0
FCF%,-306.90764631410286
FCF_capex_from_cashflow,-166825200000.0
FCF%_capex_from_cashflow,-306.538312419725
DV,1.6060064928288702
Mcap (cr),30825.529344
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,False
CFO >0,False
cCFO > PAT,False
p/e <10,True
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,1.0056264099891807
Market Cap,308255293440
Net Income,54422300000.0
Total Revenue,84714100000.0
Total Assets,3140403800000.0
Total Liabilities,2776848700000.0
Total Stockholders Equity,314766800000.0
Total Debt,2625382800000.0
Cash and Cash Equivalents,0
Current Assets,0
Current Liabilities,0
Working Capital,0
Operating Cash Flow,-166091700000.0
Capital Expenditure,733500000.0
Dividends Paid,4950600000.0
Depreciation & Amortization,977700000.0
Interest Expense,195283600000.0
Income Tax Expense,14361600000.0
Shares Outstanding,550062976
Net Fixed Assets,3234200000.0
Construction in Progress,900000.0
Net Debt,0
3-5yr Average ROA (%),1.5179073104835723
3-5yr Average ROE (%),14.472687052385238
ROE,16.047037475561517
ROA,1.7979727046108551
insidersPercentHeld,0.02338
institutionsPercentHeld,0.76115996
institutionsFloatPercentHeld,0.77939004
institutionsCount,111.0
current,560.4
high,940.0
low,480.0
mean,665.55554
median,670.0
Normalized EBIT,0.0
Normalized Net Income,43653233333.333336
