,Value
ticker,LVS
longName,Las Vegas Sands Corp.
ROCE,18.076017490750086
ROCE (3yr avg),9.746428671190882
NFAT,0.8162410143409312
NFAT (3yr avg),0.6249647202527289
NPM,23.048337785741353
DPR,21.927245993636035
Retention Ratio,78.07275400636397
Dep,9.025500504796048
SSGR,2.220409693538376
Av NPM (over 3 years),23.048337785741353
Au NFA/T (over 3 years),0.6249647202527289
Av Dep%NFA (over 3 years),9.025500504796048
Au Retention ratio (over 3 years),78.07275400636398
d/e,3.339485186983973
Interest coverage,3.392022008253095
tax %,10.612244897959183
cPAT,3538000000.0
CFO,3204000000.0
cCFO,5651000000.0
cCFO/cPAT,1.5972300734878462
p/a,6.639728166039122
p/e,27.30457
EY,3.9161160927536707
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,38.702271101284815
PEG,
no. shares (cr),68.6453606
Current Price,53.79
market cap,36924339466.74
d/e_market,0.37243726492080553
p/s,3.192024
NFA + CWIP,14624000000.0
Capex,1813000000.0
Capex_from_cashflow_statement,1580000000.0
FCF,1391000000.0
FCF%,96.19640387275243
FCF_capex_from_cashflow,1624000000.0
FCF%_capex_from_cashflow,112.30982019363762
DV,1.5978620295467951
Mcap (cr),3707.5357696
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.43414481897627966
Market Cap,37075357696
Net Income,1446000000.0
Total Revenue,11298000000.0
Total Assets,20666000000.0
Total Liabilities,17506000000.0
Total Stockholders Equity,4118000000.0
Total Debt,13752000000.0
Cash and Cash Equivalents,182000000.0
Current Assets,4290000000.0
Current Liabilities,5801000000.0
Working Capital,-1511000000.0
Operating Cash Flow,3204000000.0
Capital Expenditure,1580000000.0
Dividends Paid,590000000.0
Depreciation & Amortization,1368000000.0
Interest Expense,727000000.0
Income Tax Expense,208000000.0
Shares Outstanding,686453606
Net Fixed Assets,13995000000.0
Construction in Progress,629000000.0
Net Debt,13570000000.0
3-5yr Average ROA (%),7.138340356796423
3-5yr Average ROE (%),46.43677490484337
ROE,30.52881610201275
ROA,5.573179359609284
insidersPercentHeld,0.56395
institutionsPercentHeld,0.4562
institutionsFloatPercentHeld,1.04623
institutionsCount,914.0
current,53.79
high,73.5
low,55.0
mean,60.23333
median,60.0
Normalized EBIT,1531666666.6666667
Normalized Net Income,1499666666.6666667
Research Asset,521400000.0
R&D Amortization,137000000.0
Adjusted EBIT (R&D),2778000000.0
Adjusted Book Equity (R&D),4639400000.0
Adjusted D/E (R&D),2.964176402120964
Adjusted Invested Capital (R&D),18209400000.0
Adjusted ROC (R&D),13.63686797332528
Adjusted ROE (R&D),31.167823425442947
