,Value
ticker,MANBA.NS
ROCE,4.581168266838854
ROCE (3yr avg),6.508239427450101
NFAT,13.227094969727927
NFAT (3yr avg),9.743230715743822
NPM,15.914062115065557
DPR,-1
Retention Ratio,101.0
Dep,10.715680082865624
SSGR,145.88924251701377
Av NPM (over 3 years),15.914062115065557
Au NFA/T (over 3 years),9.743230715743822
Av Dep%NFA (over 3 years),10.715680082865624
Au Retention ratio (over 3 years),-1
d/e,5.4029096619019725
Interest coverage,
tax %,24.5481672205423
cPAT,953009000.0
CFO,-3235640000.0
cCFO,-5414518000.0
cCFO/cPAT,-5.681497236647293
p/a,3.8821410625415727
p/e,16.191944
EY,5.505980406935549
Earnings Growth 5yr cagr,57.12000607696379
Sales Growth 5yr cagr,36.10130923746202
PEG,0.2834723788051229
no. shares (cr),5.02394
Current Price,136.66
market cap,6865716404.0
d/e_market,1.5786614771453935
p/s,5.179742
NFA + CWIP,168963000.0
Capex,-1394000.0
Capex_from_cashflow_statement,26055000.0
FCF,-3234246000.0
FCF%,-855.5640499966934
FCF_capex_from_cashflow,-3261695000.0
FCF%_capex_from_cashflow,-862.8252099728854
DV,0.3658758754638477
Mcap (cr),686.5716736
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,False
CFO >0,False
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.9995691733320147
Market Cap,6865716736
Net Income,378025000.0
Total Revenue,2369310000.0
Total Assets,14659769000.0
Total Liabilities,10970777000.0
Total Stockholders Equity,2006075000.0
Total Debt,10838642000.0
Cash and Cash Equivalents,
Current Assets,13859098000.0
Current Liabilities,29156000.0
Working Capital,13829942000.0
Operating Cash Flow,-3235640000.0
Capital Expenditure,26055000.0
Dividends Paid,25120000.0
Depreciation & Amortization,18931000.0
Interest Expense,
Income Tax Expense,122990000.0
Shares Outstanding,50239400
Net Fixed Assets,168963000.0
Construction in Progress,0
Net Debt,
3-5yr Average ROA (%),3.032842453059484
3-5yr Average ROE (%),13.50977655824054
ROE,13.275524238784197
ROA,3.098907469627387
insidersPercentHeld,0.76662004
institutionsPercentHeld,0.0
institutionsFloatPercentHeld,0.0
institutionsCount,0.0
current,136.66
Normalized EBIT,469921000.0
Normalized Net Income,285202333.3333333
