,Value
ticker,MATX
ROCE,15.040892193308549
ROCE (3yr avg),20.639512306502198
NFAT,1.4441326046128848
NFAT (3yr avg),
NPM,16.006661021724643
DPR,9.68732662553609
Retention Ratio,90.31267337446391
Dep,11.951736743794257
SSGR,
Av NPM (over 3 years),16.006661021724643
Au NFA/T (over 3 years),
Av Dep%NFA (over 3 years),11.951736743794257
Au Retention ratio (over 3 years),90.31267337446393
d/e,0.3119923355687924
Interest coverage,73.64
tax %,20.52052052052052
cPAT,2764800000.0
CFO,767800000.0
cCFO,3534300000.0
cCFO/cPAT,1.2783203125
p/a,11.093000512271225
p/e,7.236896
EY,14.096807469913667
Earnings Growth 5yr cagr,-13.264510719421374
Sales Growth 5yr cagr,-4.4727543419965095
PEG,-0.5455833353433852
no. shares (cr),3.1789
p/s,0.9753777
NFA + CWIP,2860000000.0
Capex,596500000.0
FCF,171300000.0
FCF%,35.957178841309826
DV,1.3256443632496477
Mcap (cr),337.9488512
d/e decreasing trend 5 yrs,True
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
net cash flow positive,False
cCFO > PAT,True
p/e <10,True
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),False
FCF/CFO,0.22310497525397238
Current Price,106.31
Market Cap,3379488512
Net Income,476400000.0
Total Revenue,3421800000.0
Total Assets,4595400000.0
Total Liabilities,1943400000.0
Total Stockholders Equity,2400700000.0
Total Debt,390500000.0
Cash and Cash Equivalents,12800000.0
Current Assets,609600000.0
Current Liabilities,560400000.0
Working Capital,49200000.0
Operating Cash Flow,767800000.0
Capital Expenditure,310100000.0
Dividends Paid,44800000.0
Depreciation & Amortization,286800000.0
Interest Expense,7500000.0
Income Tax Expense,123000000.0
Shares Outstanding,31789000
Net Fixed Assets,2618600000.0
Construction in Progress,241400000.0
Net Debt,377700000.0
3-5yr Average ROA (%),17.30996769886468
3-5yr Average ROE (%),35.19995628131675
ROE,18.85724464147881
ROA,10.717660292463442
insidersPercentHeld,0.0188
institutionsPercentHeld,0.89575994
institutionsFloatPercentHeld,0.91292
institutionsCount,511.0
current,106.31
high,160.0
low,115.0
mean,137.5
median,137.5
