,Value
ticker,MD
longName,"Pediatrix Medical Group, Inc."
ROCE,-3.5260300595255414
ROCE (3yr avg),0.811081777426299
NFAT,17.942693384201238
NFAT (3yr avg),15.394308504098595
NPM,-1.5287889929105871
DPR,0.0
Retention Ratio,100.0
Dep,26.615372732744135
SSGR,-50.15002212727991
Av NPM (over 3 years),-1.5287889929105871
Au NFA/T (over 3 years),15.394308504098595
Av Dep%NFA (over 3 years),26.615372732744135
Au Retention ratio (over 3 years),100.0
d/e,0.7800534943896846
Interest coverage,4.508283631544069
tax %,2.241935643027008
cPAT,37822000.0
CFO,206573000.0
cCFO,587576000.0
cCFO/cPAT,15.535296917138174
p/a,-4.462949531716679
p/e,13.226923
EY,-6.616011212336229
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,1.743670819759613
PEG,
no. shares (cr),8.70842
Current Price,17.195
market cap,1497412819.0
d/e_market,0.44230488185769967
p/s,0.7715739
NFA + CWIP,78439000.0
Capex,-35268000.0
Capex_from_cashflow_statement,22022000.0
FCF,241841000.0
FCF%,-244.11369853334546
FCF_capex_from_cashflow,184551000.0
FCF%_capex_from_cashflow,-186.28531629470368
DV,0.0
Mcap (cr),149.7412736
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,1.1707289916881682
Market Cap,1497412736
Net Income,-99069000.0
Total Revenue,2012919000.0
Total Assets,2152700000.0
Total Liabilities,1387762000.0
Total Stockholders Equity,849061000.0
Total Debt,662313000.0
Cash and Cash Equivalents,5087000.0
Current Assets,639607000.0
Current Liabilities,434110000.0
Working Capital,205497000.0
Operating Cash Flow,206573000.0
Capital Expenditure,22022000.0
Dividends Paid,0
Depreciation & Amortization,32226000.0
Interest Expense,40743000.0
Income Tax Expense,-2272000.0
Shares Outstanding,87084200
Net Fixed Assets,78439000.0
Construction in Progress,0
Net Debt,657226000.0
3-5yr Average ROA (%),-0.0142336246701813
3-5yr Average ROE (%),0.23942229854041663
ROE,-6.940683968970979
ROA,-2.645009071310991
insidersPercentHeld,0.021240002
institutionsPercentHeld,0.97306997
institutionsFloatPercentHeld,0.99419
institutionsCount,377.0
current,17.195
high,20.0
low,13.0
mean,16.71429
median,16.5
Normalized EBIT,18061000.0
Normalized Net Income,-31047333.333333332
