,Value
ticker,MGRC
ROCE,18.101474390644555
ROCE (3yr avg),12.74780625228373
NFAT,0.6933993842739034
NFAT (3yr avg),
NPM,21.514420001378088
DPR,28.23854345466511
Retention Ratio,71.7614565453349
Dep,8.38567467069637
SSGR,
Av NPM (over 3 years),21.514420001378088
Au NFA/T (over 3 years),
Av Dep%NFA (over 3 years),8.38567467069637
Au Retention ratio (over 3 years),71.7614565453349
d/e,0.6320483357285591
Interest coverage,5.170593340530472
tax %,26.11900564006262
cPAT,611191000.0
CFO,374375000.0
cCFO,859893000.0
cCFO/cPAT,1.4069137143707942
p/a,10.450943790215323
p/e,12.075949
EY,7.591836189374003
Earnings Growth 5yr cagr,36.643850038853685
Sales Growth 5yr cagr,19.441805893006748
PEG,0.3295491327247492
no. shares (cr),2.46115
p/s,3.2418497
NFA + CWIP,1600198000.0
Capex,194409000.0
FCF,179966000.0
FCF%,77.66293957976413
DV,1.5319175943197771
Mcap (cr),305.2318208
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
net cash flow positive,False
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),False
FCF/CFO,0.48071051752921534
Current Price,124.02
Market Cap,3052318208
Net Income,231727000.0
Total Revenue,910942000.0
Total Assets,2277584000.0
Total Liabilities,1154216000.0
Total Stockholders Equity,933802000.0
Total Debt,870337000.0
Cash and Cash Equivalents,0
Current Assets,234453000.0
Current Liabilities,283879000.0
Working Capital,-49426000.0
Operating Cash Flow,374375000.0
Capital Expenditure,231459000.0
Dividends Paid,46759000.0
Depreciation & Amortization,107455000.0
Interest Expense,47241000.0
Income Tax Expense,81922000.0
Shares Outstanding,24611500
Net Fixed Assets,1585098000.0
Construction in Progress,15100000.0
Net Debt,0
3-5yr Average ROA (%),7.94982719923128
3-5yr Average ROE (%),17.46820185457851
ROE,22.528716634988843
ROA,10.310738893942801
insidersPercentHeld,0.01007
institutionsPercentHeld,0.91673
institutionsFloatPercentHeld,0.92605
institutionsCount,356.0
current,124.02
high,150.0
low,139.0
mean,144.0
median,143.5
