,Value
ticker,MGY
ROCE,20.05529180336161
ROCE (3yr avg),30.32424255400413
NFAT,0.6038868256596119
NFAT (3yr avg),0.8403797373455691
NPM,37.40415026960414
DPR,19.25525603579911
Retention Ratio,80.7447439642009
Dep,18.276750838646688
SSGR,7.10430165356235
Av NPM (over 3 years),37.40415026960414
Au NFA/T (over 3 years),0.8403797373455691
Av Dep%NFA (over 3 years),18.276750838646688
Au Retention ratio (over 3 years),80.7447439642009
d/e,0.2320269319666365
Interest coverage,35.6264699742537
tax %,19.42904999158459
cPAT,2065447000.0
CFO,920850000.0
cCFO,3861803000.0
cCFO/cPAT,1.8697177899021373
p/a,13.280054973920766
p/e,12.630209
EY,8.146049325403041
Earnings Growth 5yr cagr,-6.586798295527285
Sales Growth 5yr cagr,6.861034371633012
PEG,-1.9175035325700571
no. shares (cr),18.5291008
p/s,3.4816954
NFA + CWIP,2306034000.0
Capex,668500000.0
FCF,252350000.0
FCF%,68.94300147256897
DV,2.17256468824935
Mcap (cr),462.7264
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
net cash flow positive,False
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,0.27404028886355
Current Price,24.25
Market Cap,4627264000
Net Income,366027000.0
Total Revenue,1315886000.0
Total Assets,2820835000.0
Total Liabilities,853509000.0
Total Stockholders Equity,1691670000.0
Total Debt,563248000.0
Cash and Cash Equivalents,599000.0
Current Assets,410824000.0
Current Liabilities,290261000.0
Working Capital,120563000.0
Operating Cash Flow,920850000.0
Capital Expenditure,486729000.0
Dividends Paid,97620000.0
Depreciation & Amortization,414487000.0
Interest Expense,14371000.0
Income Tax Expense,95813000.0
Shares Outstanding,185291008
Net Fixed Assets,2306034000.0
Construction in Progress,0
Net Debt,562649000.0
3-5yr Average ROA (%),23.029215697501368
3-5yr Average ROE (%),39.593743929589216
ROE,20.305227184030837
ROA,13.126184429728186
insidersPercentHeld,0.013459999
institutionsPercentHeld,1.1858001
institutionsFloatPercentHeld,1.20199
institutionsCount,504.0
current,24.25
high,34.0
low,19.0
mean,26.8
median,27.0
