,Value
ticker,MHO
ROCE,16.490241458795065
ROCE (3yr avg),17.002811976175437
NFAT,50.13823807668763
NFAT (3yr avg),45.70076351642911
NPM,11.9760526710135
DPR,0.0
Retention Ratio,100.0
Dep,16.063676241612466
SSGR,531.2510747366748
Av NPM (over 3 years),11.9760526710135
Au NFA/T (over 3 years),45.70076351642911
Av Dep%NFA (over 3 years),16.063676241612466
Au Retention ratio (over 3 years),100.0
d/e,0.41182801808069247
Interest coverage,
tax %,23.157190216028177
cPAT,1916620000.0
CFO,179736000.0
cCFO,899115000.0
cCFO/cPAT,0.46911490018887414
p/a,14.01450363460984
p/e,8.072527
EY,14.53903110855768
Earnings Growth 5yr cagr,14.153498388082086
Sales Growth 5yr cagr,6.341496998191198
PEG,0.5703555953909917
no. shares (cr),2.63907
p/s,0.8641482
NFA + CWIP,88408000.0
Capex,12578000.0
FCF,167158000.0
FCF%,29.65240143687081
DV,0.0
Mcap (cr),387.7321472
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,True
CFO >0,True
net cash flow positive,False
cCFO > PAT,False
p/e <10,True
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,0.930019584279165
Current Price,146.92
Market Cap,3877321472
Net Income,563725000.0
Total Revenue,4504670000.0
Total Assets,4549796000.0
Total Liabilities,1610119000.0
Total Stockholders Equity,2516939000.0
Total Debt,1342213000.0
Cash and Cash Equivalents,0
Current Assets,4196972000.0
Current Liabilities,267906000.0
Working Capital,3929066000.0
Operating Cash Flow,179736000.0
Capital Expenditure,8417000.0
Dividends Paid,0
Depreciation & Amortization,15452000.0
Interest Expense,
Income Tax Expense,169883000.0
Shares Outstanding,26390700
Net Fixed Assets,88408000.0
Construction in Progress,0
Net Debt,0
3-5yr Average ROA (%),13.097150489909906
3-5yr Average ROE (%),22.502851402104834
ROE,20.662073343625426
ROA,13.152344382492503
insidersPercentHeld,0.024
institutionsPercentHeld,0.98299
institutionsFloatPercentHeld,1.0071601
institutionsCount,431.0
current,146.92
high,185.0
low,150.0
mean,162.0
median,151.0
