,Value
ticker,MLI
ROCE,28.375215483046706
ROCE (3yr avg),36.442789452976996
NFAT,7.785355434180845
NFAT (3yr avg),8.635168389131197
NPM,16.735661615768393
DPR,11.432229631674815
Retention Ratio,88.56777036832518
Dep,10.48519303958867
SSGR,117.50874717957052
Av NPM (over 3 years),16.735661615768393
Au NFA/T (over 3 years),8.635168389131197
Av Dep%NFA (over 3 years),10.48519303958867
Au Retention ratio (over 3 years),88.56777036832518
d/e,0.014442264951688703
Interest coverage,1859.490243902439
tax %,24.995185639310534
cPAT,2334612000.0
CFO,645908000.0
cCFO,2354318000.0
cCFO/cPAT,1.0084408030113783
p/a,21.92145764452664
p/e,15.0
EY,5.791286608665908
Earnings Growth 5yr cagr,9.112502370980046
Sales Growth 5yr cagr,-0.005120515180534468
PEG,1.646090106683479
no. shares (cr),11.0701
p/s,2.5727582
NFA + CWIP,627049000.0
Capex,177295000.0
FCF,468613000.0
FCF%,77.47218865260656
DV,0.8531362071395984
Mcap (cr),1044.4639232
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
net cash flow positive,False
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.7255104442118692
Current Price,94.35
Market Cap,10444639232
Net Income,604879000.0
Total Revenue,3768766000.0
Total Assets,3290906000.0
Total Liabilities,486498000.0
Total Stockholders Equity,2337445000.0
Total Debt,
Cash and Cash Equivalents,40734000.0
Current Assets,2012229000.0
Current Liabilities,397987000.0
Working Capital,1614242000.0
Operating Cash Flow,645908000.0
Capital Expenditure,80203000.0
Dividends Paid,89107000.0
Depreciation & Amortization,53133000.0
Interest Expense,410000.0
Income Tax Expense,205076000.0
Shares Outstanding,110701000
Net Fixed Assets,547833000.0
Construction in Progress,79216000.0
Net Debt,
3-5yr Average ROA (%),25.75212823295494
3-5yr Average ROE (%),32.19233152741126
ROE,23.67149909697668
ROA,19.995315862746516
insidersPercentHeld,0.025799999
institutionsPercentHeld,0.89716005
institutionsFloatPercentHeld,0.92092
institutionsCount,736.0
current,94.35
high,130.0
low,99.0
mean,114.5
median,114.5
