,Value
ticker,MSUMI.NS
longName,Motherson Sumi Wiring India Limited
ROCE,43.19363146804027
ROCE (3yr avg),43.69294549457852
NFAT,14.63895160653667
NFAT (3yr avg),14.746125116615431
NPM,7.061281927835183
DPR,52.71294741937478
Retention Ratio,47.28705258062522
Dep,22.992809706962873
SSGR,26.245565224748134
Av NPM (over 3 years),7.061281927835183
Au NFA/T (over 3 years),14.746125116615431
Av Dep%NFA (over 3 years),22.992809706962873
Au Retention ratio (over 3 years),47.28705258062522
d/e,0.16052003816793894
Interest coverage,33.06020202020202
tax %,24.77620094113557
cPAT,21418600000.0
CFO,3648200000.0
cCFO,18802600000.0
cCFO/cPAT,0.8778631656597536
p/a,19.30166618879225
p/e,45.173912
EY,2.1982368677182333
Earnings Growth 5yr cagr,13.783464566821134
Sales Growth 5yr cagr,18.391314918134793
PEG,3.2773989283318783
no. shares (cr),663.1660032
Current Price,41.56
market cap,275611790929.92004
d/e_market,0.009765910198974015
p/s,2.8750262
NFA + CWIP,7639600000.0
Capex,2935500000.0
Capex_from_cashflow_statement,1718400000.0
FCF,712700000.0
FCF%,11.763443699864656
FCF_capex_from_cashflow,1929800000.0
FCF%_capex_from_cashflow,31.852243092463606
DV,1.2801701944954682
Mcap (cr),27561.181184
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.19535661422071157
Market Cap,275611811840
Net Income,6058600000.0
Total Revenue,92715800000.0
Total Assets,37287800000.0
Total Liabilities,20304700000.0
Total Stockholders Equity,16768000000.0
Total Debt,2691600000.0
Cash and Cash Equivalents,692800000.0
Current Assets,28529600000.0
Current Liabilities,18068300000.0
Working Capital,10461300000.0
Operating Cash Flow,3648200000.0
Capital Expenditure,1718400000.0
Dividends Paid,3528300000.0
Depreciation & Amortization,1788900000.0
Interest Expense,247500000.0
Income Tax Expense,1995500000.0
Shares Outstanding,6631660032
Net Fixed Assets,7272900000.0
Construction in Progress,366700000.0
Net Debt,1998800000.0
3-5yr Average ROA (%),18.166145144201558
3-5yr Average ROE (%),38.75843849775909
ROE,35.90164468713613
ROA,17.64380402115416
insidersPercentHeld,0.61749
institutionsPercentHeld,0.20805
institutionsFloatPercentHeld,0.5439
institutionsCount,57.0
current,41.56
high,57.0
low,37.33333
mean,45.64103
median,46.0
Normalized EBIT,7942333333.333333
Normalized Net Income,5770533333.333333
