,Value
ticker,MUFTI.NS
ROCE,17.920944291796435
ROCE (3yr avg),20.291509276687993
NFAT,2.1698025457921424
NFAT (3yr avg),2.2606286494408194
NPM,12.351233153434315
DPR,23.114110342437186
Retention Ratio,76.88588965756281
Dep,24.684078110423513
SSGR,-3.216344816095498
Av NPM (over 3 years),12.351233153434315
Au NFA/T (over 3 years),2.2606286494408194
Av Dep%NFA (over 3 years),24.684078110423513
Au Retention ratio (over 3 years),76.88588965756281
d/e,0.693624531344664
Interest coverage,4.3643143103854305
tax %,25.51529545058393
cPAT,2408220000.0
CFO,1658780000.0
cCFO,3729330000.0
cCFO/cPAT,1.5485836011660064
p/a,9.631047665734144
p/e,12.788364
EY,8.203186736059788
Earnings Growth 5yr cagr,23.736879951465205
Sales Growth 5yr cagr,21.9122059193948
PEG,0.5387550523130405
no. shares (cr),6.53701
Current Price,127.5
market cap,8334687750.0
d/e_market,0.28434178592953285
p/s,1.3569282
NFA + CWIP,2904630000.0
Capex,776590000.0
Capex_from_cashflow_statement,213450000.0
FCF,882190000.0
FCF%,129.02985183776747
FCF_capex_from_cashflow,1445330000.0
FCF%_capex_from_cashflow,211.3951821678782
DV,0.3896966626014274
Mcap (cr),833.4687744
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),False
FCF/CFO,0.5318306225056969
Market Cap,8334687744
Net Income,683710000.0
Total Revenue,6181800000.0
Total Assets,7692200000.0
Total Liabilities,3590520000.0
Total Stockholders Equity,3416690000.0
Total Debt,2369900000.0
Cash and Cash Equivalents,203330000.0
Current Assets,4149850000.0
Current Liabilities,1148460000.0
Working Capital,3001390000.0
Operating Cash Flow,1658780000.0
Capital Expenditure,213450000.0
Dividends Paid,32480000.0
Depreciation & Amortization,685640000.0
Interest Expense,254780000.0
Income Tax Expense,234210000.0
Shares Outstanding,65370100
Net Fixed Assets,2897590000.0
Construction in Progress,7040000.0
Net Debt,2166570000.0
3-5yr Average ROA (%),11.073306493017975
3-5yr Average ROE (%),22.39085643571436
ROE,18.187718880555227
ROA,9.244808744647163
insidersPercentHeld,0.63254
institutionsPercentHeld,0.06547
institutionsFloatPercentHeld,0.17817
institutionsCount,3.0
current,127.5
Normalized EBIT,1132196666.6666667
Normalized Net Income,683606666.6666666
