,Value
ticker,NESCO.NS
ROCE,17.448655657840597
ROCE (3yr avg),18.041065785321127
NFAT,3.8274800993880276
NFAT (3yr avg),3.930018396249496
NPM,52.66045562033838
DPR,9.093376418318208
Retention Ratio,90.90662358168179
Dep,22.416279060044946
SSGR,165.72094131932326
Av NPM (over 3 years),52.66045562033838
Au NFA/T (over 3 years),3.930018396249496
Av Dep%NFA (over 3 years),22.416279060044946
Au Retention ratio (over 3 years),90.90662358168179
d/e,0.0004223809474666527
Interest coverage,33.948441194691426
tax %,23.295008050476365
cPAT,12178041000.0
CFO,3488983000.0
cCFO,11863371000.0
cCFO/cPAT,0.9741608687308575
p/a,14.157289702710532
p/e,25.245613
EY,3.7006186093293016
Earnings Growth 5yr cagr,25.639184079217927
Sales Growth 5yr cagr,29.456530297079176
PEG,0.9846496254326228
no. shares (cr),7.046
Current Price,1439.0
market cap,101391940000.0
d/e_market,9.566835391452219e-05
p/s,11.357666
NFA + CWIP,3490441000.0
Capex,700320000.0
Capex_from_cashflow_statement,7836258000.0
FCF,2788663000.0
FCF%,74.32215150385288
FCF_capex_from_cashflow,-4347275000.0
FCF%_capex_from_cashflow,-115.86155486658373
DV,0.4169562195969423
Mcap (cr),10139.1941632
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.7992767519933459
Market Cap,101391941632
Net Income,3752129000.0
Total Revenue,7320071000.0
Total Assets,30156089000.0
Total Liabilities,3861738000.0
Total Stockholders Equity,22965051000.0
Total Debt,9700000.0
Cash and Cash Equivalents,326560000.0
Current Assets,3663120000.0
Current Liabilities,1464807000.0
Working Capital,2198313000.0
Operating Cash Flow,3488983000.0
Capital Expenditure,7836258000.0
Dividends Paid,422760000.0
Depreciation & Amortization,499214000.0
Interest Expense,114607000.0
Income Tax Expense,1139507000.0
Shares Outstanding,70460000
Net Fixed Assets,3234505000.0
Construction in Progress,255936000.0
Net Debt,-316860000.0
3-5yr Average ROA (%),12.833599620152743
3-5yr Average ROE (%),14.81915732530023
ROE,15.234163825212493
ROA,13.244542179592642
insidersPercentHeld,0.70268995
institutionsPercentHeld,0.045339998
institutionsFloatPercentHeld,0.15248999
institutionsCount,35.0
current,1439.0
high,1282.0
low,1282.0
mean,1282.0
median,1282.0
Normalized EBIT,4519661333.333333
Normalized Net Income,3428776333.3333335
