,Value
ticker,NILAINFRA.NS
ROCE,17.649208733233205
ROCE (3yr avg),12.59523059709547
NFAT,28.03850194108244
NFAT (3yr avg),30.2689095309436
NPM,4.69620383403806
DPR,0.0
Retention Ratio,100.0
Dep,25.928983937655744
SSGR,116.21998505371273
Av NPM (over 3 years),4.69620383403806
Au NFA/T (over 3 years),30.2689095309436
Av Dep%NFA (over 3 years),25.928983937655744
Au Retention ratio (over 3 years),100.0
d/e,0.18164648496058847
Interest coverage,6.025399782642447
tax %,25.660392650735364
cPAT,293222000.0
CFO,602142000.0
cCFO,2477967000.0
cCFO/cPAT,8.450822243897116
p/a,2.4334344647732213
p/e,19.321428
EY,4.809733104230589
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,44.28781672091273
PEG,
no. shares (cr),39.3888992
Current Price,10.82
market cap,4261878893.44
d/e_market,0.06126898640923949
p/s,1.4306803
NFA + CWIP,161771000.0
Capex,78623000.0
Capex_from_cashflow_statement,32233000.0
FCF,523519000.0
FCF%,255.39380930311975
FCF_capex_from_cashflow,569909000.0
FCF%_capex_from_cashflow,278.02473351708664
DV,0.0
Mcap (cr),426.5784832
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.8694278093871545
Market Cap,4265784832
Net Income,204985000.0
Total Revenue,2455612000.0
Total Assets,8702722000.0
Total Liabilities,7060564000.0
Total Stockholders Equity,1437523000.0
Total Debt,261121000.0
Cash and Cash Equivalents,4868008000.0
Current Assets,7161620000.0
Current Liabilities,6702638000.0
Working Capital,458982000.0
Operating Cash Flow,602142000.0
Capital Expenditure,32233000.0
Dividends Paid,0
Depreciation & Amortization,14147000.0
Interest Expense,32205000.0
Income Tax Expense,82317000.0
Shares Outstanding,393888992
Net Fixed Assets,112895000.0
Construction in Progress,48876000.0
Net Debt,-4606887000.0
3-5yr Average ROA (%),1.2255837916489754
3-5yr Average ROE (%),7.039332754022801
ROE,13.312093038207529
ROA,2.3937878877497583
insidersPercentHeld,0.67495
institutionsPercentHeld,0.0
institutionsFloatPercentHeld,0.0
institutionsCount,0.0
current,10.82
Normalized EBIT,233459000.0
Normalized Net Income,104346000.0
