,Value
ticker,NILKAMAL.NS
ROCE,9.331300649125989
ROCE (3yr avg),10.972123587558187
NFAT,4.10908700760143
NFAT (3yr avg),4.155590184993672
NPM,3.803112287438264
DPR,23.055661017889847
Retention Ratio,76.94433898211015
Dep,13.97076923042298
SSGR,-1.810350403243459
Av NPM (over 3 years),3.803112287438264
Au NFA/T (over 3 years),4.155590184993672
Av Dep%NFA (over 3 years),13.97076923042298
Au Retention ratio (over 3 years),76.94433898211015
d/e,0.37641605995819105
Interest coverage,4.237189979875497
tax %,24.13679701278601
cPAT,4459744000.0
CFO,2474517000.0
cCFO,7566043000.0
cCFO/cPAT,1.696519576011538
p/a,4.79222650182766
p/e,22.463537
EY,4.584697288092705
Earnings Growth 5yr cagr,8.485110174390798
Sales Growth 5yr cagr,6.924756341591376
PEG,2.64740663801844
no. shares (cr),1.49225
Current Price,1555.6
market cap,23213441000.0
d/e_market,0.2286196604803226
p/s,0.67223144
NFA + CWIP,10791939000.0
Capex,3557322000.0
Capex_from_cashflow_statement,2702516000.0
FCF,-1082805000.0
FCF%,-101.74195173011258
FCF_capex_from_cashflow,-227999000.0
FCF%_capex_from_cashflow,-21.42312166319322
DV,1.2856818599190012
Mcap (cr),2321.3441024
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,-0.43758236455841687
Market Cap,23213441024
Net Income,1064266000.0
Total Revenue,32917594000.0
Total Assets,25444289000.0
Total Liabilities,10559401000.0
Total Stockholders Equity,14098891000.0
Total Debt,5307049000.0
Cash and Cash Equivalents,706153000.0
Current Assets,14068904000.0
Current Liabilities,6133862000.0
Working Capital,7935042000.0
Operating Cash Flow,2474517000.0
Capital Expenditure,2702516000.0
Dividends Paid,298451000.0
Depreciation & Amortization,1201200000.0
Interest Expense,394047000.0
Income Tax Expense,339814000.0
Shares Outstanding,14922500
Net Fixed Assets,10043642000.0
Construction in Progress,748297000.0
Net Debt,4600896000.0
3-5yr Average ROA (%),5.268698956317289
3-5yr Average ROE (%),8.47712483264632
ROE,7.347150670415262
ROA,4.466782755804249
insidersPercentHeld,0.76443
institutionsPercentHeld,0.1519
institutionsFloatPercentHeld,0.64482003
institutionsCount,8.0
current,1555.6
high,2232.0
low,1760.0
mean,1996.0
median,1996.0
Normalized EBIT,1964027333.3333333
Normalized Net Income,1208747666.6666667
