,Value
ticker,NKE
longName,"NIKE, Inc."
ROCE,14.231345865528775
ROCE (3yr avg),19.3619330194365
NFAT,6.070127146414995
NFAT (3yr avg),6.373214916236481
NPM,9.315962750234553
DPR,49.72927027694583
Retention Ratio,50.270729723054174
Dep,10.751923604985137
SSGR,19.09513213870214
Av NPM (over 3 years),9.315962750234553
Au NFA/T (over 3 years),6.373214916236481
Av Dep%NFA (over 3 years),10.751923604985137
Au Retention ratio (over 3 years),50.27072972305418
d/e,0.7635481635481636
Interest coverage,inf
tax %,17.142857142857142
cPAT,20035000000.0
CFO,3698000000.0
cCFO,22156000000.0
cCFO/cPAT,1.1058647367107561
p/a,8.446601941747572
p/e,31.986238
EY,3.8857881259227534
Earnings Growth 5yr cagr,-17.25273402717501
Sales Growth 5yr cagr,-0.2869856686446237
PEG,-1.8539808212204543
no. shares (cr),118.801574
Current Price,69.73
market cap,82840337550.20001
d/e_market,0.13300283805969834
p/s,2.21046
NFA + CWIP,7944000000.0
Capex,841000000.0
Capex_from_cashflow_statement,430000000.0
FCF,2857000000.0
FCF%,88.7542715128922
FCF_capex_from_cashflow,3268000000.0
FCF%_capex_from_cashflow,101.52221186703945
DV,2.776425190935798
Mcap (cr),10236.4192768
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.7725797728501893
Market Cap,102364192768
Net Income,3219000000.0
Total Revenue,46309000000.0
Total Assets,36579000000.0
Total Liabilities,23366000000.0
Total Stockholders Equity,14430000000.0
Total Debt,11018000000.0
Cash and Cash Equivalents,2005000000.0
Current Assets,23362000000.0
Current Liabilities,10566000000.0
Working Capital,12796000000.0
Operating Cash Flow,3698000000.0
Capital Expenditure,430000000.0
Dividends Paid,2300000000.0
Depreciation & Amortization,808000000.0
Interest Expense,0
Income Tax Expense,666000000.0
Shares Outstanding,1188015740
Net Fixed Assets,7540000000.0
Construction in Progress,404000000.0
Net Debt,9013000000.0
3-5yr Average ROA (%),14.047952554308619
3-5yr Average ROE (%),37.35904067696575
ROE,40.09284659210804
ROA,15.071191549556456
insidersPercentHeld,0.014099999
institutionsPercentHeld,0.84294
institutionsFloatPercentHeld,0.855
institutionsCount,2851.0
current,69.73
high,120.0
low,38.0
mean,80.76235
median,79.0
Normalized EBIT,5309333333.333333
Normalized Net Income,4663000000.0
