,Value
ticker,NL
longName,"NL Industries, Inc."
ROCE,17.21032192382532
ROCE (3yr avg),7.708615007303628
NFAT,5.850628395036982
NFAT (3yr avg),5.839685451278549
NPM,21.651120560709455
DPR,-149.0050851345444
Retention Ratio,249.0050851345444
Dep,14.368202632825485
SSGR,300.4632038125572
Av NPM (over 3 years),21.651120560709455
Au NFA/T (over 3 years),5.839685451278549
Av Dep%NFA (over 3 years),14.368202632825485
Au Retention ratio (over 3 years),249.0050851345444
d/e,0.001352038332990817
Interest coverage,66.59811320754717
tax %,16.87150435680165
cPAT,149952000.0
CFO,25574000.0
cCFO,107117000.0
cCFO/cPAT,0.7143419227486129
p/a,11.658129025321593
p/e,6.0379086
EY,20.715407236619793
Earnings Growth 5yr cagr,9.537610407212128
Sales Growth 5yr cagr,1.198979427052671
PEG,0.6330630359397222
no. shares (cr),4.88627
Current Price,6.6417
market cap,324531394.59000003
d/e_market,0.0015406829919542297
p/s,2.1249952
NFA + CWIP,24615000.0
Capex,1767000.0
Capex_from_cashflow_statement,1432000.0
FCF,23807000.0
FCF%,35.41232819658476
FCF_capex_from_cashflow,24142000.0
FCF%_capex_from_cashflow,35.91063247456417
DV,11.288276145450252
Mcap (cr),32.4531392
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,True
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,True
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,0.9309063893016345
Market Cap,324531392
Net Income,67228000.0
Total Revenue,145941000.0
Total Assets,578258000.0
Total Liabilities,162355000.0
Total Stockholders Equity,369812000.0
Total Debt,500000.0
Cash and Cash Equivalents,2154000.0
Current Assets,237958000.0
Current Liabilities,91062000.0
Working Capital,146896000.0
Operating Cash Flow,25574000.0
Capital Expenditure,1432000.0
Dividends Paid,36634000.0
Depreciation & Amortization,3691000.0
Interest Expense,530000.0
Income Tax Expense,14057000.0
Shares Outstanding,48862700
Net Fixed Assets,24026000.0
Construction in Progress,589000.0
Net Debt,-1654000.0
3-5yr Average ROA (%),2.611740664682802
3-5yr Average ROE (%),4.238206713520652
ROE,-0.6138608067960881
ROA,-0.3890338963480876
insidersPercentHeld,0.82982004
institutionsPercentHeld,0.12693
institutionsFloatPercentHeld,0.74586
institutionsCount,116.0
current,6.6417
Normalized EBIT,39452333.333333336
Normalized Net Income,32921333.333333332
