,Value
ticker,NRBBEARING.NS
ROCE,13.002173822164625
ROCE (3yr avg),22.86123583388805
NFAT,3.0393802616898267
NFAT (3yr avg),2.9176555683189966
NPM,12.530331061598995
DPR,9.896635320766867
Retention Ratio,90.10336467923314
Dep,11.545735947931995
SSGR,21.395324517022356
Av NPM (over 3 years),12.530331061598995
Au NFA/T (over 3 years),2.9176555683189966
Av Dep%NFA (over 3 years),11.545735947931995
Au Retention ratio (over 3 years),90.10336467923314
d/e,0.21772045911781465
Interest coverage,13.687725631768952
tax %,27.36256948733786
cPAT,4861200000.0
CFO,836900000.0
cCFO,2756600000.0
cCFO/cPAT,0.5670616308730355
p/a,6.410535744546928
p/e,31.954086
EY,2.8723430197476785
Earnings Growth 5yr cagr,2.745786031968467
Sales Growth 5yr cagr,9.272888718875304
PEG,11.637500383484713
no. shares (cr),9.69226
Current Price,285.35
market cap,27656863910.000004
d/e_market,0.06769386457164657
p/s,2.2681272
NFA + CWIP,4524700000.0
Capex,813100000.0
Capex_from_cashflow_statement,819000000.0
FCF,23800000.0
FCF%,2.9959718026183286
FCF_capex_from_cashflow,17900000.0
FCF%_capex_from_cashflow,2.253272910372608
DV,0.04230414568359497
Mcap (cr),2765.6863744
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.028438284143864262
Market Cap,27656863744
Net Income,794400000.0
Total Revenue,11986100000.0
Total Assets,12996400000.0
Total Liabilities,3631800000.0
Total Stockholders Equity,8599100000.0
Total Debt,1872200000.0
Cash and Cash Equivalents,726100000.0
Current Assets,8218800000.0
Current Liabilities,3428000000.0
Working Capital,4790800000.0
Operating Cash Flow,836900000.0
Capital Expenditure,819000000.0
Dividends Paid,11700000.0
Depreciation & Amortization,475800000.0
Interest Expense,110800000.0
Income Tax Expense,310100000.0
Shares Outstanding,96922600
Net Fixed Assets,4131100000.0
Construction in Progress,393600000.0
Net Debt,1146100000.0
3-5yr Average ROA (%),11.340468361669366
3-5yr Average ROE (%),18.414058043104742
ROE,8.9354809682354
ROA,6.257951434704689
insidersPercentHeld,0.36569
institutionsPercentHeld,0.23424
institutionsFloatPercentHeld,0.36929
institutionsCount,12.0
current,285.35
high,346.0
low,346.0
mean,346.0
median,346.0
Normalized EBIT,2031900000.0
Normalized Net Income,1376166666.6666667
