,Value
ticker,ORLY
longName,"O'Reilly Automotive, Inc."
ROCE,49.43260724730554
ROCE (3yr avg),51.39484595631726
NFAT,2.4261174188000703
NFAT (3yr avg),2.454959132583559
NPM,14.734013474926376
DPR,0.0
Retention Ratio,100.0
Dep,5.835456656716506
SSGR,30.33594428316322
Av NPM (over 3 years),14.734013474926376
Au NFA/T (over 3 years),2.454959132583559
Av Dep%NFA (over 3 years),5.835456656716506
Au Retention ratio (over 3 years),100.0
d/e,-4.554102334416925
Interest coverage,14.60879001383971
tax %,21.62135180081601
cPAT,9070596000.0
CFO,3049576000.0
cCFO,12439220000.0
cCFO/cPAT,1.3713784628926258
p/a,17.203783321481772
p/e,37.96127
EY,2.6090656100426632
Earnings Growth 5yr cagr,9.231026219922999
Sales Growth 5yr cagr,7.827298447929976
PEG,4.112356426641875
no. shares (cr),84.849668
Current Price,107.81
market cap,91476427070.8
d/e_market,0.08658897437991867
p/s,5.342619
NFA + CWIP,8367963000.0
Capex,1243353000.0
Capex_from_cashflow_statement,1023387000.0
FCF,1806223000.0
FCF%,75.67931184741985
FCF_capex_from_cashflow,2026189000.0
FCF%_capex_from_cashflow,84.89571287311244
DV,0.0
Mcap (cr),9147.6426752
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.5922865998420764
Market Cap,91476426752
Net Income,2386680000.0
Total Revenue,16708479000.0
Total Assets,14893741000.0
Total Liabilities,16264702000.0
Total Stockholders Equity,-1739278000.0
Total Debt,7920850000.0
Cash and Cash Equivalents,117916000.0
Current Assets,5839895000.0
Current Liabilities,8283505000.0
Working Capital,-2443610000.0
Operating Cash Flow,3049576000.0
Capital Expenditure,1023387000.0
Dividends Paid,0
Depreciation & Amortization,461892000.0
Interest Expense,222548000.0
Income Tax Expense,658384000.0
Shares Outstanding,848496680
Net Fixed Assets,7929794000.0
Construction in Progress,438169000.0
Net Debt,7802934000.0
3-5yr Average ROA (%),17.655594090567348
3-5yr Average ROE (%),-991.3815216621408
ROE,-153.4724501879116
ROA,16.593331965086342
insidersPercentHeld,0.0076200003
institutionsPercentHeld,0.8901
institutionsFloatPercentHeld,0.89693
institutionsCount,2136.0
current,107.81
high,125.0
low,62.0
mean,108.13043
median,110.0
Normalized EBIT,3143468333.3333335
Normalized Net Income,2301970333.3333335
