,Value
ticker,PAISALO.NS
ROCE,5.6438070384871795
ROCE (3yr avg),-1
NFAT,10.966838035848811
NFAT (3yr avg),8.361781431756954
NPM,29.537162369620034
DPR,3.9230638014079724
Retention Ratio,96.07693619859204
Dep,5.017127722796427
SSGR,232.27685585130305
Av NPM (over 3 years),29.537162369620034
Au NFA/T (over 3 years),8.361781431756954
Av Dep%NFA (over 3 years),5.017127722796427
Au Retention ratio (over 3 years),96.07693619859202
d/e,2.6714481374762435
Interest coverage,
tax %,25.426765510564703
cPAT,5519630000.0
CFO,-8418146000.0
cCFO,-22601197000.0
cCFO/cPAT,-4.094694209575642
p/a,4.85354705810521
p/e,13.270742
EY,7.299581421041758
Earnings Growth 5yr cagr,33.60757577219504
Sales Growth 5yr cagr,54.71990408735778
PEG,0.39487352762228817
no. shares (cr),90.2118016
Current Price,30.39
market cap,27415366506.24
d/e_market,1.2954295173079855
p/s,6.341643
NFA + CWIP,744650000.0
Capex,126259000.0
Capex_from_cashflow_statement,127788000.0
FCF,-8544405000.0
FCF%,-426.9625780841262
FCF_capex_from_cashflow,-8545934000.0
FCF%_capex_from_cashflow,-427.0389819743785
DV,0.32701003643192067
Mcap (cr),2741.5365632
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,True
Interest coverage >3,False
d/e <0.5,False
CFO >0,False
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,1.014998433146681
Market Cap,27415365632
Net Income,2001207000.0
Total Revenue,7708245000.0
Total Assets,52545971000.0
Total Liabilities,37196165000.0
Total Stockholders Equity,13294166000.0
Total Debt,35514675000.0
Cash and Cash Equivalents,0
Current Assets,51086888000.0
Current Liabilities,665760000.0
Working Capital,50421128000.0
Operating Cash Flow,-8418146000.0
Capital Expenditure,127788000.0
Dividends Paid,89651000.0
Depreciation & Amortization,42696000.0
Interest Expense,
Income Tax Expense,682342000.0
Shares Outstanding,902118016
Net Fixed Assets,744650000.0
Construction in Progress,0.0
Net Debt,0
3-5yr Average ROA (%),4.039616845647689
3-5yr Average ROE (%),12.300771793545517
ROE,13.972971346292336
ROA,4.267975274664106
insidersPercentHeld,0.43351
institutionsPercentHeld,0.10949001
institutionsFloatPercentHeld,0.19329001
institutionsCount,16.0
current,30.39
high,75.0
low,75.0
mean,75.0
median,75.0
Normalized EBIT,2930763333.3333335
Normalized Net Income,1575707666.6666667
