,Value
ticker,PARAGMILK.NS
ROCE,17.074665254557832
ROCE (3yr avg),13.601052719132033
NFAT,7.111759897474257
NFAT (3yr avg),7.024237904563357
NPM,2.7377895820631797
DPR,-1
Retention Ratio,101.0
Dep,13.774377399087223
SSGR,5.648816811530105
Av NPM (over 3 years),2.7377895820631797
Au NFA/T (over 3 years),7.024237904563357
Av Dep%NFA (over 3 years),13.774377399087223
Au Retention ratio (over 3 years),-1
d/e,0.7173398705852171
Interest coverage,1.9916237113402062
tax %,10.40802473791387
cPAT,-2698610000.0
CFO,2120400000.0
cCFO,-247130000.0
cCFO/cPAT,0.09157677470994327
p/a,6.2822401773560115
p/e,24.276007
EY,4.3576989785185285
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,18.885541694044015
PEG,
no. shares (cr),11.9205
Current Price,228.68
market cap,27259799400.0
d/e_market,0.24002010814503646
p/s,0.7731521
NFA + CWIP,5265800000.0
Capex,667280000.0
Capex_from_cashflow_statement,1352100000.0
FCF,1453120000.0
FCF%,122.32679518477987
FCF_capex_from_cashflow,768300000.0
FCF%_capex_from_cashflow,64.6771613772203
DV,0.21900381262526825
Mcap (cr),2725.9797504
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,False
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.6853046594982078
Market Cap,27259797504
Net Income,1187900000.0
Total Revenue,34322100000.0
Total Assets,20326400000.0
Total Liabilities,10092300000.0
Total Stockholders Equity,9121060000.0
Total Debt,6542900000.0
Cash and Cash Equivalents,4580100000.0
Current Assets,13580200000.0
Current Liabilities,7107400000.0
Working Capital,6472800000.0
Operating Cash Flow,2120400000.0
Capital Expenditure,1352100000.0
Dividends Paid,59700000.0
Depreciation & Amortization,672200000.0
Interest Expense,931200000.0
Income Tax Expense,138000000.0
Shares Outstanding,119205000
Net Fixed Assets,5072700000.0
Construction in Progress,193100000.0
Net Debt,1962800000.0
3-5yr Average ROA (%),4.87480979511782
3-5yr Average ROE (%),10.209572865196202
ROE,12.274762905602433
ROA,6.055267634265709
insidersPercentHeld,0.53905
institutionsPercentHeld,0.076680005
institutionsFloatPercentHeld,0.16635
institutionsCount,7.0
current,228.68
high,300.0
low,300.0
mean,300.0
median,300.0
Normalized EBIT,1657293333.3333333
Normalized Net Income,875446666.6666666
