,Value
ticker,PATINTLOG.NS
ROCE,6.927342964740464
ROCE (3yr avg),6.573247796315961
NFAT,9.941492035907435
NFAT (3yr avg),7.42439879649977
NPM,1.9643440656898552
DPR,9.17339695581493
Retention Ratio,90.82660304418508
Dep,6.658790876069573
SSGR,6.587427866740459
Av NPM (over 3 years),1.9643440656898552
Au NFA/T (over 3 years),7.42439879649977
Av Dep%NFA (over 3 years),6.658790876069573
Au Retention ratio (over 3 years),90.82660304418506
d/e,0.10954122535454425
Interest coverage,5.246341048332199
tax %,0.8829820534223706
cPAT,203071000.0
CFO,8773000.0
cCFO,178782000.0
cCFO/cPAT,0.8803915871788685
p/a,3.9573803751010237
p/e,13.477876
EY,7.170759229481741
Earnings Growth 5yr cagr,14.322409283154581
Sales Growth 5yr cagr,13.492522946692652
PEG,0.941034132843286
no. shares (cr),6.9585696
Current Price,15.23
market cap,1059790150.08
d/e_market,0.123332906981758
p/s,0.3132338
NFA + CWIP,339264000.0
Capex,15368000.0
Capex_from_cashflow_statement,13533000.0
FCF,-6595000.0
FCF%,-8.678202513323246
FCF_capex_from_cashflow,-4760000.0
FCF%_capex_from_cashflow,-6.263569971708666
DV,0.6094602784817761
Mcap (cr),106.0484608
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),False
FCF/CFO,-0.7517382879288727
Market Cap,1060484608
Net Income,75995000.0
Total Revenue,3420937000.0
Total Assets,1681159000.0
Total Liabilities,464558000.0
Total Stockholders Equity,1193222000.0
Total Debt,130707000.0
Cash and Cash Equivalents,157623000.0
Current Assets,1153938000.0
Current Liabilities,404710000.0
Working Capital,749228000.0
Operating Cash Flow,8773000.0
Capital Expenditure,13533000.0
Dividends Paid,6459000.0
Depreciation & Amortization,26136000.0
Interest Expense,11752000.0
Income Tax Expense,677000.0
Shares Outstanding,69585696
Net Fixed Assets,338723000.0
Construction in Progress,541000.0
Net Debt,-26916000.0
3-5yr Average ROA (%),3.350114179831195
3-5yr Average ROE (%),5.049619171363688
ROE,6.307102222860352
ROA,4.220191892533517
insidersPercentHeld,0.41546002
institutionsPercentHeld,0.0
institutionsFloatPercentHeld,0.0
institutionsCount,0.0
current,15.23
Normalized EBIT,87074666.66666667
Normalized Net Income,60114666.666666664
