,Value
ticker,PBYI
longName,"Puma Biotechnology, Inc."
ROCE,31.18186006039822
ROCE (3yr avg),22.323105097862292
NFAT,33.54457463066735
NFAT (3yr avg),23.982619502060135
NPM,7.433771728317095
DPR,0.0
Retention Ratio,100.0
Dep,89.86245182277855
SSGR,88.41886700262226
Av NPM (over 3 years),7.433771728317095
Au NFA/T (over 3 years),23.982619502060135
Av Dep%NFA (over 3 years),89.86245182277855
Au Retention ratio (over 3 years),100.0
d/e,1.386213090827439
Interest coverage,2.4868294249919694
tax %,-25.634854771784234
cPAT,22745000.0
CFO,38918000.0
cCFO,70750000.0
cCFO/cPAT,3.110573752473071
p/a,13.13419627984453
p/e,5.010101
EY,12.119020549388768
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,-3.081197118451562
PEG,
no. shares (cr),5.03707
Current Price,4.96
market cap,249838672.0
d/e_market,0.2965193474931695
p/s,1.0494689
NFA + CWIP,5094000.0
Capex,7971000.0
Capex_from_cashflow_statement,56000.0
FCF,30947000.0
FCF%,102.20952506770593
FCF_capex_from_cashflow,38862000.0
FCF%_capex_from_cashflow,128.350617610146
DV,0.0
Mcap (cr),24.9838672
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,True
peg <1,False
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,0.7951847474176473
Market Cap,249838672
Net Income,30278000.0
Total Revenue,230468000.0
Total Assets,213333000.0
Total Liabilities,121208000.0
Total Stockholders Equity,53442000.0
Total Debt,74082000.0
Cash and Cash Equivalents,3700000.0
Current Assets,147658000.0
Current Liabilities,96111000.0
Working Capital,51547000.0
Operating Cash Flow,38918000.0
Capital Expenditure,56000.0
Dividends Paid,0
Depreciation & Amortization,11524000.0
Interest Expense,12452000.0
Income Tax Expense,-6178000.0
Shares Outstanding,50370700
Net Fixed Assets,5094000.0
Construction in Progress,0
Net Debt,70382000.0
3-5yr Average ROA (%),4.771020285030512
3-5yr Average ROE (%),28.779258110012734
ROE,57.537641572285146
ROA,9.541148994557952
insidersPercentHeld,0.15433
institutionsPercentHeld,0.68016
institutionsFloatPercentHeld,0.80429
institutionsCount,165.0
current,4.96
high,4.0
low,2.0
mean,3.0
median,3.0
Normalized EBIT,28201666.666666668
Normalized Net Income,17290333.333333332
Research Asset,155332600.0
R&D Amortization,45885400.0
Adjusted EBIT (R&D),45601600.0
Adjusted Book Equity (R&D),208774600.0
Adjusted D/E (R&D),0.3548420162222799
Adjusted Invested Capital (R&D),279156600.0
Adjusted ROC (R&D),20.5230698230348
Adjusted ROE (R&D),14.502722074428595
