,Value
ticker,PHM
ROCE,25.24837746720021
ROCE (3yr avg),25.01788792661473
NFAT,55.573635969529946
NFAT (3yr avg),58.680480792238505
NPM,16.579173371018957
DPR,5.473227023438611
Retention Ratio,94.52677297656139
Dep,28.12149002236569
SSGR,891.5047792684222
Av NPM (over 3 years),16.579173371018957
Au NFA/T (over 3 years),58.680480792238505
Av Dep%NFA (over 3 years),28.12149002236569
Au Retention ratio (over 3 years),94.52677297656139
d/e,0.21712965401896533
Interest coverage,8120.866388308977
tax %,23.031574343608483
cPAT,10249271000.0
CFO,1680794000.0
cCFO,5550043000.0
cCFO/cPAT,0.5415061227281432
p/a,19.166111872593174
p/e,9.897532
EY,11.80944356487844
Earnings Growth 5yr cagr,25.822532637881434
Sales Growth 5yr cagr,9.320003661654352
PEG,0.3832905214525862
no. shares (cr),19.7298
p/s,1.4755083
NFA + CWIP,346992000.0
Capex,137266000.0
FCF,1543528000.0
FCF%,50.06152574773082
DV,0.6423477316994367
Mcap (cr),2610.8444672
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
net cash flow positive,False
cCFO > PAT,False
p/e <10,True
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,0.9183326451665106
Current Price,132.33
Market Cap,26108444672
Net Income,3083262000.0
Total Revenue,17946950000.0
Total Assets,17363763000.0
Total Liabilities,5241799000.0
Total Stockholders Equity,10383257000.0
Total Debt,
Cash and Cash Equivalents,0
Current Assets,16578401000.0
Current Liabilities,1495979000.0
Working Capital,15082422000.0
Operating Cash Flow,1680794000.0
Capital Expenditure,118545000.0
Dividends Paid,167707000.0
Depreciation & Amortization,89162000.0
Interest Expense,479000.0
Income Tax Expense,922617000.0
Shares Outstanding,197298000
Net Fixed Assets,346992000.0
Construction in Progress,0
Net Debt,0
3-5yr Average ROA (%),17.96115447582892
3-5yr Average ROE (%),28.76105559410668
ROE,27.40041521920625
ROA,18.43460127561025
insidersPercentHeld,0.0065499996
institutionsPercentHeld,0.95962
institutionsFloatPercentHeld,0.96594
institutionsCount,1357.0
current,132.33
high,163.0
low,98.0
mean,135.84615
median,140.0
