,Value
ticker,PM
longName,Philip Morris International Inc.
ROCE,35.9206565643572
ROCE (3yr avg),34.266912526020384
NFAT,5.1096721974908945
NFAT (3yr avg),4.995818652331448
NPM,23.11005608713516
DPR,101.47545733884512
Retention Ratio,-1.4754573388451098
Dep,20.162217943131242
SSGR,-21.86568728405129
Av NPM (over 3 years),23.11005608713516
Au NFA/T (over 3 years),4.995818652331448
Av Dep%NFA (over 3 years),20.162217943131242
Au Retention ratio (over 3 years),-1.4754573388451249
d/e,-4.070824053452116
Interest coverage,7.601815087918321
tax %,24.731535371751782
cPAT,33027000000.0
CFO,12217000000.0
cCFO,44191000000.0
cCFO/cPAT,1.3380264631967784
p/a,10.806382457429867
p/e,24.52219
EY,2.7348905919818662
Earnings Growth 5yr cagr,-8.065916885265578
Sales Growth 5yr cagr,6.4460165967697325
PEG,-3.0402234921110995
no. shares (cr),155.6589952
Current Price,165.77
market cap,258035916343.04
d/e_market,0.17708775060310525
p/s,6.6064806
NFA + CWIP,8391000000.0
Capex,1462000000.0
Capex_from_cashflow_statement,1444000000.0
FCF,10755000000.0
FCF%,152.40187048320817
FCF_capex_from_cashflow,10773000000.0
FCF%_capex_from_cashflow,152.6569363752303
DV,3.1766895539854554
Mcap (cr),25803.5924992
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,True
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.8803306867479741
Market Cap,258035924992
Net Income,7057000000.0
Total Revenue,37878000000.0
Total Assets,61784000000.0
Total Liabilities,71654000000.0
Total Stockholders Equity,-11225000000.0
Total Debt,45695000000.0
Cash and Cash Equivalents,1826000000.0
Current Assets,20170000000.0
Current Liabilities,22915000000.0
Working Capital,-2745000000.0
Operating Cash Flow,12217000000.0
Capital Expenditure,1444000000.0
Dividends Paid,8197000000.0
Depreciation & Amortization,1787000000.0
Interest Expense,1763000000.0
Income Tax Expense,3017000000.0
Shares Outstanding,1556589952
Net Fixed Assets,7310000000.0
Construction in Progress,1081000000.0
Net Debt,43869000000.0
3-5yr Average ROA (%),14.939635212456952
3-5yr Average ROE (%),-86.17638738385585
ROE,-77.42542859974235
ROA,12.305390400440997
insidersPercentHeld,0.00156
institutionsPercentHeld,0.8196
institutionsFloatPercentHeld,0.82088
institutionsCount,3370.0
current,165.77
high,220.0
low,153.0
mean,190.2
median,190.0
Normalized EBIT,12780000000.0
Normalized Net Income,7972666666.666667
