,Value
ticker,POR
longName,Portland General Electric Company
ROCE,4.910284463894967
ROCE (3yr avg),4.701020822828709
NFAT,0.34588507365140014
NFAT (3yr avg),0.33063246855169326
NPM,8.567153436456463
DPR,70.0725647687942
Retention Ratio,29.927435231205802
Dep,5.045571106749996
SSGR,-4.197852834469939
Av NPM (over 3 years),8.567153436456463
Au NFA/T (over 3 years),0.33063246855169326
Av Dep%NFA (over 3 years),5.045571106749996
Au Retention ratio (over 3 years),29.927435231205806
d/e,1.4543537210003012
Interest coverage,2.4265402843601898
tax %,10.571428571428571
cPAT,1018000000.0
CFO,778000000.0
cCFO,2404000000.0
cCFO/cPAT,2.361493123772102
p/a,2.7926481084939327
p/e,16.236162
EY,6.49277347093882
Earnings Growth 5yr cagr,3.549024754068153
Sales Growth 5yr cagr,12.812496371753678
PEG,4.5748235431124895
no. shares (cr),10.9562368
Current Price,44.0
market cap,4820744192.0
d/e_market,1.0012976851189037
p/s,1.3843247
NFA + CWIP,10912000000.0
Capex,888000000.0
Capex_from_cashflow_statement,1268000000.0
FCF,-110000000.0
FCF%,-35.14376996805112
FCF_capex_from_cashflow,-490000000.0
FCF%_capex_from_cashflow,-156.54952076677316
DV,4.1487370421334315
Mcap (cr),482.8524544
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,True
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,-0.14138817480719795
Market Cap,4828524544
Net Income,313000000.0
Total Revenue,3440000000.0
Total Assets,12544000000.0
Total Liabilities,8750000000.0
Total Stockholders Equity,3319000000.0
Total Debt,4827000000.0
Cash and Cash Equivalents,205000000.0
Current Assets,1025000000.0
Current Liabilities,1119000000.0
Working Capital,-94000000.0
Operating Cash Flow,778000000.0
Capital Expenditure,1268000000.0
Dividends Paid,200000000.0
Depreciation & Amortization,496000000.0
Interest Expense,211000000.0
Income Tax Expense,37000000.0
Shares Outstanding,109562368
Net Fixed Assets,10345000000.0
Construction in Progress,567000000.0
Net Debt,4622000000.0
3-5yr Average ROA (%),2.2200357020749815
3-5yr Average ROE (%),7.986105423304163
ROE,7.477861593965235
ROA,2.104583006415286
insidersPercentHeld,0.00486
institutionsPercentHeld,1.0076001
institutionsFloatPercentHeld,1.01252
institutionsCount,547.0
current,44.0
high,58.0
low,40.0
mean,46.2
median,45.0
Normalized EBIT,478333333.3333333
Normalized Net Income,258000000.0
