,Value
ticker,PPC
ROCE,19.428969247545485
ROCE (3yr avg),14.936527833272706
NFAT,5.359397543734376
NFAT (3yr avg),
NPM,4.066392577233041
DPR,0.0
Retention Ratio,100.0
Dep,12.574062092780943
SSGR,
Av NPM (over 3 years),4.066392577233041
Au NFA/T (over 3 years),
Av Dep%NFA (over 3 years),12.574062092780943
Au Retention ratio (over 3 years),100.0
d/e,1.0404848212688347
Interest coverage,9.923728866139289
tax %,23.015870206030154
cPAT,2184942000.0
CFO,1990127000.0
cCFO,3664326000.0
cCFO/cPAT,1.677081588435757
p/a,11.074393694584735
p/e,8.894027
EY,9.908081780494312
Earnings Growth 5yr cagr,227.8239724193367
Sales Growth 5yr cagr,6.55538994315501
PEG,0.03903903046528177
no. shares (cr),23.7547008
p/s,0.60323036
NFA + CWIP,3693537000.0
Capex,243903000.0
FCF,1746224000.0
FCF%,160.72928229682688
DV,0.0
Mcap (cr),1096.5170176
d/e decreasing trend 5 yrs,True
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
net cash flow positive,False
cCFO > PAT,True
p/e <10,True
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),False
FCF/CFO,0.877443499836945
Current Price,46.16
Market Cap,10965170176
Net Income,1086438000.0
Total Revenue,17878291000.0
Total Assets,10650576000.0
Total Liabilities,6397180000.0
Total Stockholders Equity,3331372000.0
Total Debt,3206971000.0
Cash and Cash Equivalents,200879000.0
Current Assets,5120163000.0
Current Liabilities,2552133000.0
Working Capital,2568030000.0
Operating Cash Flow,1990127000.0
Capital Expenditure,476153000.0
Dividends Paid,0
Depreciation & Amortization,433622000.0
Interest Expense,161175000.0
Income Tax Expense,325046000.0
Shares Outstanding,237547008
Net Fixed Assets,3393604000.0
Construction in Progress,299933000.0
Net Debt,3006092000.0
3-5yr Average ROA (%),5.637927211072774
3-5yr Average ROE (%),16.964908132421495
ROE,28.70082836929045
ROA,10.619630958249859
insidersPercentHeld,0.82502997
institutionsPercentHeld,0.21395001
institutionsFloatPercentHeld,1.22278
institutionsCount,558.0
current,46.16
high,57.0
low,40.0
mean,49.28571
median,49.0
