,Value
ticker,PRIMESECU.NS
ROCE,20.665345804727455
ROCE (3yr avg),15.626475976652861
NFAT,22.166666666666668
NFAT (3yr avg),20.85360171765969
NPM,35.248881319694384
DPR,27.202521272316194
Retention Ratio,72.79747872768381
Dep,38.830917874396135
SSGR,496.27869322743504
Av NPM (over 3 years),35.248881319694384
Au NFA/T (over 3 years),20.85360171765969
Av Dep%NFA (over 3 years),38.830917874396135
Au Retention ratio (over 3 years),72.79747872768381
d/e,0.02138460562218415
Interest coverage,281.5
tax %,13.905656159177285
cPAT,850200000.0
CFO,278600000.0
cCFO,369200000.0
cCFO/cPAT,0.43425076452599387
p/a,21.649426261941098
p/e,23.889404
EY,4.43146464208297
Earnings Growth 5yr cagr,24.04364301764208
Sales Growth 5yr cagr,24.31173648033582
PEG,0.9935850396078121
no. shares (cr),3.36228
Current Price,257.05
market cap,8642740740.0
d/e_market,0.003899226068882404
p/s,8.108397
NFA + CWIP,57200000.0
Capex,
Capex_from_cashflow_statement,52000000.0
FCF,
FCF%,
FCF_capex_from_cashflow,226600000.0
FCF%_capex_from_cashflow,59.1644908616188
DV,0.3876085261351944
Mcap (cr),864.2740224
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,
Market Cap,8642740224
Net Income,383000000.0
Total Revenue,798000000.0
Total Assets,2304300000.0
Total Liabilities,242300000.0
Total Stockholders Equity,1575900000.0
Total Debt,33700000.0
Cash and Cash Equivalents,3800000.0
Current Assets,837700000.0
Current Liabilities,134000000.0
Working Capital,703700000.0
Operating Cash Flow,278600000.0
Capital Expenditure,52000000.0
Dividends Paid,33500000.0
Depreciation & Amortization,13200000.0
Interest Expense,1200000.0
Income Tax Expense,62200000.0
Shares Outstanding,33622800
Net Fixed Assets,53400000.0
Construction in Progress,3800000.0
Net Debt,29900000.0
3-5yr Average ROA (%),12.907317168546257
3-5yr Average ROE (%),14.496045519408876
ROE,21.062472503299603
ROA,18.804929542888004
insidersPercentHeld,0.51484
institutionsPercentHeld,0.10812
institutionsFloatPercentHeld,0.22285
institutionsCount,3.0
current,257.05
Normalized EBIT,281400000.0
Normalized Net Income,226800000.0
