,Value
ticker,PVH
longName,PVH Corp.
ROCE,9.594278408953857
ROCE (3yr avg),8.698292564629874
NFAT,4.353769906161161
NFAT (3yr avg),4.238828321685193
NPM,5.445548184181605
DPR,2.631120593536867
Retention Ratio,97.36887940646314
Dep,13.900352537393623
SSGR,8.575056505294265
Av NPM (over 3 years),5.445548184181605
Au NFA/T (over 3 years),4.238828321685193
Av Dep%NFA (over 3 years),13.900352537393623
Au Retention ratio (over 3 years),97.36887940646312
d/e,0.6624665455468949
Interest coverage,8.142538975501113
tax %,15.19059090264985
cPAT,2414800000.0
CFO,740900000.0
cCFO,2820700000.0
cCFO/cPAT,1.1680884545303958
p/a,5.356711328303305
p/e,9.562785
EY,14.84745399000165
Earnings Growth 5yr cagr,-7.3712665335919025
Sales Growth 5yr cagr,-1.8615511807160035
PEG,-1.297305552094886
no. shares (cr),4.8119782
Current Price,83.77
market cap,4030994138.14
d/e_market,0.8412564949957325
p/s,0.47574303
NFA + CWIP,1969800000.0
Capex,95000000.0
Capex_from_cashflow_statement,158700000.0
FCF,645900000.0
FCF%,107.91979949874685
FCF_capex_from_cashflow,582200000.0
FCF%_capex_from_cashflow,97.2765246449457
DV,0.21334687437596359
Mcap (cr),417.5834368
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,True
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,0.871777567822918
Market Cap,4175834368
Net Income,598500000.0
Total Revenue,8652900000.0
Total Assets,11033200000.0
Total Liabilities,5892700000.0
Total Stockholders Equity,5118900000.0
Total Debt,3391100000.0
Cash and Cash Equivalents,144100000.0
Current Assets,3487600000.0
Current Liabilities,2741800000.0
Working Capital,745800000.0
Operating Cash Flow,740900000.0
Capital Expenditure,158700000.0
Dividends Paid,8600000.0
Depreciation & Amortization,282200000.0
Interest Expense,89800000.0
Income Tax Expense,107200000.0
Shares Outstanding,48119782
Net Fixed Assets,1898500000.0
Construction in Progress,71300000.0
Net Debt,3247000000.0
3-5yr Average ROA (%),3.7219075583459746
3-5yr Average ROE (%),8.495152336723264
ROE,13.09960914366931
ROA,5.785224835666835
insidersPercentHeld,0.00973
institutionsPercentHeld,1.14484
institutionsFloatPercentHeld,1.15609
institutionsCount,524.0
current,83.77
high,148.0
low,70.0
mean,96.78571
median,93.0
Normalized EBIT,737866666.6666666
Normalized Net Income,487500000.0
