,Value
ticker,PWR
longName,"Quanta Services, Inc."
ROCE,11.178778418445088
ROCE (3yr avg),9.969126953250553
NFAT,8.474912459514428
NFAT (3yr avg),8.2724088502127
NPM,3.4217308165480476
DPR,6.920304978150117
Retention Ratio,93.07969502184989
Dep,27.023335168186374
SSGR,-0.6762373805687838
Av NPM (over 3 years),3.4217308165480476
Au NFA/T (over 3 years),8.2724088502127
Av Dep%NFA (over 3 years),27.023335168186374
Au Retention ratio (over 3 years),93.07969502184987
d/e,0.7140919808406596
Interest coverage,6.428868156319843
tax %,23.493395378002194
cPAT,2626658000.0
CFO,2081196000.0
cCFO,5369850000.0
cCFO/cPAT,2.0443658824255
p/a,5.572528557065631
p/e,62.886192
EY,1.4652772771687492
Earnings Growth 5yr cagr,21.316686230111515
Sales Growth 5yr cagr,22.176938770060396
PEG,2.950092304270457
no. shares (cr),14.9005943
Current Price,414.42
market cap,61751042898.060005
d/e_market,0.07253249159522636
p/s,2.370215
NFA + CWIP,3125848000.0
Capex,1208766000.0
Capex_from_cashflow_statement,604078000.0
FCF,872430000.0
FCF%,96.4198562372351
FCF_capex_from_cashflow,1477118000.0
FCF%_capex_from_cashflow,163.24920647551346
DV,0.08776531934767152
Mcap (cr),6175.1042048
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.41919646203433025
Market Cap,61751042048
Net Income,904824000.0
Total Revenue,23672795000.0
Total Assets,18683894000.0
Total Liabilities,11354177000.0
Total Stockholders Equity,6272241000.0
Total Debt,4478957000.0
Cash and Cash Equivalents,469338000.0
Current Assets,7851033000.0
Current Liabilities,6028513000.0
Working Capital,1822520000.0
Operating Cash Flow,2081196000.0
Capital Expenditure,604078000.0
Dividends Paid,54196000.0
Depreciation & Amortization,742322000.0
Interest Expense,202687000.0
Income Tax Expense,284747000.0
Shares Outstanding,149005943
Net Fixed Assets,3000172000.0
Construction in Progress,125676000.0
Net Debt,4009619000.0
3-5yr Average ROA (%),4.373491722635564
3-5yr Average ROE (%),11.068929568707533
ROE,12.778103083425671
ROA,5.014477016393952
insidersPercentHeld,0.00875
institutionsPercentHeld,0.95058
institutionsFloatPercentHeld,0.95897
institutionsCount,1896.0
current,414.42
high,490.0
low,248.0
mean,422.24
median,425.0
Normalized EBIT,1133278333.3333333
Normalized Net Income,713567333.3333334
