,Value
ticker,RAYMOND.NS
ROCE,3.049270872782513
ROCE (3yr avg),8.813944526888534
NFAT,1.0477493609018322
NFAT (3yr avg),1.8817326026651873
NPM,197.61148416063097
DPR,1.960121328513716
Retention Ratio,98.03987867148628
Dep,11.221862560797165
SSGR,353.3413600236862
Av NPM (over 3 years),197.61148416063097
Au NFA/T (over 3 years),1.8817326026651873
Av Dep%NFA (over 3 years),11.221862560797165
Au Retention ratio (over 3 years),98.03987867148628
d/e,0.16033690393170094
Interest coverage,0.48753462603878117
tax %,33.59714066887924
cPAT,100583948000.0
CFO,2331400000.0
cCFO,22480714000.0
cCFO/cPAT,0.22350200451467664
p/a,57.932050148220405
p/e,95.641426
EY,185.30811589657392
Earnings Growth 5yr cagr,208.35623646379693
Sales Growth 5yr cagr,-32.70987723121237
PEG,0.4590283815028413
no. shares (cr),6.65514
Current Price,618.8
market cap,41182006320.0
d/e_market,0.1797702604014364
p/s,2.002636
NFA + CWIP,9269000000.0
Capex,-16473400000.0
Capex_from_cashflow_statement,1578600000.0
FCF,18804800000.0
FCF%,24.641479369339148
FCF_capex_from_cashflow,752800000.0
FCF%_capex_from_cashflow,0.9864558872861455
DV,1.6004562645115925
Mcap (cr),4118.2007296
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,True
Interest coverage >3,False
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,8.065883160332847
Market Cap,41182007296
Net Income,76313600000.0
Total Revenue,18607400000.0
Total Assets,77163100000.0
Total Liabilities,35588000000.0
Total Stockholders Equity,46173400000.0
Total Debt,7403300000.0
Cash and Cash Equivalents,50200000.0
Current Assets,52031500000.0
Current Liabilities,30161700000.0
Working Capital,21869800000.0
Operating Cash Flow,2331400000.0
Capital Expenditure,1578600000.0
Dividends Paid,659100000.0
Depreciation & Amortization,1633800000.0
Interest Expense,649800000.0
Income Tax Expense,263200000.0
Shares Outstanding,66551400
Net Fixed Assets,9086300000.0
Construction in Progress,182700000.0
Net Debt,7353100000.0
3-5yr Average ROA (%),31.72199632779054
3-5yr Average ROE (%),82.28236439466738
ROE,183.14941657026836
ROA,73.06491469779208
insidersPercentHeld,0.52177
institutionsPercentHeld,0.13193
institutionsFloatPercentHeld,0.27587
institutionsCount,44.0
current,618.8
high,903.0
low,903.0
mean,903.0
median,903.0
Normalized EBIT,4077659666.6666665
Normalized Net Income,32660160666.666668
