,Value
ticker,RCL
longName,Royal Caribbean Cruises Ltd.
ROCE,16.46424246871904
ROCE (3yr avg),8.464423761617505
NFAT,0.5214049625986431
NFAT (3yr avg),0.43944089383647356
NPM,1.7572407071316754
DPR,1.2397172981114588
Retention Ratio,98.76028270188854
Dep,5.0563157515049175
SSGR,-4.29368546393861
Av NPM (over 3 years),1.7572407071316754
Au NFA/T (over 3 years),0.43944089383647356
Av Dep%NFA (over 3 years),5.0563157515049175
Au Retention ratio (over 3 years),98.76028270188856
d/e,4.407281964436918
Interest coverage,2.5836477987421382
tax %,0.0
cPAT,-2842000000.0
CFO,5265000000.0
cCFO,8345000000.0
cCFO/cPAT,-2.9363124560168896
p/a,8.189348438700863
p/e,24.329323
EY,3.2732878533749927
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,120.77169672329569
PEG,
no. shares (cr),27.162766
Current Price,323.58
market cap,87893278222.8
d/e_market,0.23687818250701198
p/s,5.167153
NFA + CWIP,33556000000.0
Capex,1379000000.0
Capex_from_cashflow_statement,3268000000.0
FCF,3886000000.0
FCF%,135.07125477928398
FCF_capex_from_cashflow,1997000000.0
FCF%_capex_from_cashflow,69.41258255126868
DV,0.12173854720581308
Mcap (cr),8879.2358912
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,False
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.7380816714150048
Market Cap,88792358912
Net Income,2877000000.0
Total Revenue,16485000000.0
Total Assets,37070000000.0
Total Liabilities,29335000000.0
Total Stockholders Equity,4724000000.0
Total Debt,20820000000.0
Cash and Cash Equivalents,670000000.0
Current Assets,1705000000.0
Current Liabilities,9817000000.0
Working Capital,-8112000000.0
Operating Cash Flow,5265000000.0
Capital Expenditure,3268000000.0
Dividends Paid,107000000.0
Depreciation & Amortization,1600000000.0
Interest Expense,1590000000.0
Income Tax Expense,0
Shares Outstanding,271627660
Net Fixed Assets,32508000000.0
Construction in Progress,1048000000.0
Net Debt,20150000000.0
3-5yr Average ROA (%),-0.8022275177455418
3-5yr Average ROE (%),-4.754431603775956
ROE,44.699064928223365
ROA,4.925479269159882
insidersPercentHeld,0.00252
institutionsPercentHeld,0.90977997
institutionsFloatPercentHeld,0.91208
institutionsCount,1583.0
current,323.58
high,420.0
low,218.0
mean,355.69565
median,362.0
Normalized EBIT,2267000000.0
Normalized Net Income,806000000.0
