,Value
ticker,RCMT
ROCE,28.56177655397481
ROCE (3yr avg),42.3754666860403
NFAT,28.80885853254683
NFAT (3yr avg),43.39927157039193
NPM,6.172970523406175
DPR,0.0
Retention Ratio,100.0
Dep,20.945184178286233
SSGR,246.95723996304278
Av NPM (over 3 years),6.172970523406175
Au NFA/T (over 3 years),43.39927157039193
Av Dep%NFA (over 3 years),20.945184178286233
Au Retention ratio (over 3 years),100.0
d/e,1.6354400930593254
Interest coverage,9.67765237020316
tax %,33.99207528479445
cPAT,62036000.0
CFO,6170000.0
cCFO,47850000.0
cCFO/cPAT,0.7713263266490424
p/a,11.06121974702035
p/e,14.655368
EY,6.932890299221994
Earnings Growth 5yr cagr,17.95037377941402
Sales Growth 5yr cagr,10.940815040015227
PEG,0.8164380407948484
no. shares (cr),0.741051
p/s,0.6409416
NFA + CWIP,12542000.0
Capex,7860000.0
FCF,-1690000.0
FCF%,-12.681023486155924
DV,0.0
Mcap (cr),19.222864
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
net cash flow positive,False
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,-0.2739059967585089
Current Price,25.94
Market Cap,192228640
Net Income,13327000.0
Total Revenue,278380000.0
Total Assets,132077000.0
Total Liabilities,98593000.0
Total Stockholders Equity,25790000.0
Total Debt,44960000.0
Cash and Cash Equivalents,7034000.0
Current Assets,97038000.0
Current Liabilities,53633000.0
Working Capital,43405000.0
Operating Cash Flow,6170000.0
Capital Expenditure,2572000.0
Dividends Paid,0
Depreciation & Amortization,2102000.0
Interest Expense,2215000.0
Income Tax Expense,6863000.0
Shares Outstanding,7410510
Net Fixed Assets,12542000.0
Construction in Progress,0
Net Debt,37926000.0
3-5yr Average ROA (%),17.5603733471636
3-5yr Average ROE (%),58.45714229223453
ROE,44.96743934946183
ROA,10.553490047948811
insidersPercentHeld,0.35116002
institutionsPercentHeld,0.41131002
institutionsFloatPercentHeld,0.63391995
institutionsCount,108.0
current,25.94
high,32.0
low,30.0
mean,31.0
median,31.0
