,Value
ticker,RELIANCE.NS
ROCE,8.706722338651042
ROCE (3yr avg),9.1476027931923
NFAT,1.1907548270233073
NFAT (3yr avg),1.267672417762222
NPM,7.514901678812092
DPR,8.693650061844956
Retention Ratio,91.30634993815504
Dep,6.615391138027102
SSGR,2.0828476435417578
Av NPM (over 3 years),7.514901678812092
Au NFA/T (over 3 years),1.267672417762222
Av Dep%NFA (over 3 years),6.615391138027102
Au Retention ratio (over 3 years),91.30634993815504
d/e,0.4657641455813057
Interest coverage,4.627631958465532
tax %,23.798070120829678
cPAT,2666760000000.0
CFO,1787030000000.0
cCFO,5631770000000.0
cCFO/cPAT,2.1118398356057537
p/a,3.966318638075702
p/e,23.012629
EY,3.716312274796718
Earnings Growth 5yr cagr,3.8162758337704217
Sales Growth 5yr cagr,11.498149236908084
PEG,6.030127276534904
no. shares (cr),1353.2499968
Current Price,1384.9
market cap,18741159205683.203
d/e_market,0.1971996480814951
p/s,1.9191369
NFA + CWIP,10225220000000.0
Capex,1467560000000.0
Capex_from_cashflow_statement,1399670000000.0
FCF,319470000000.0
FCF%,45.86922811853894
FCF_capex_from_cashflow,387360000000.0
FCF%_capex_from_cashflow,55.61681598897312
DV,0.3610235592016224
Mcap (cr),1874115.9002112
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.17877148117267197
Market Cap,18741159002112
Net Income,696480000000.0
Total Revenue,9646930000000.0
Total Assets,19501210000000.0
Total Liabilities,9404930000000.0
Total Stockholders Equity,7934810000000.0
Total Debt,3695750000000.0
Cash and Cash Equivalents,571480000000.0
Current Assets,4992700000000.0
Current Liabilities,4537370000000.0
Working Capital,455330000000.0
Operating Cash Flow,1787030000000.0
Capital Expenditure,1399670000000.0
Dividends Paid,67660000000.0
Depreciation & Amortization,531360000000.0
Interest Expense,242690000000.0
Income Tax Expense,252300000000.0
Shares Outstanding,13532499968
Net Fixed Assets,8528120000000.0
Construction in Progress,1697100000000.0
Net Debt,3124270000000.0
3-5yr Average ROA (%),4.0639923150802355
3-5yr Average ROE (%),8.885791382401528
ROE,8.510882694917337
ROA,3.7585531124708487
insidersPercentHeld,0.49662998
institutionsPercentHeld,0.28588
institutionsFloatPercentHeld,0.56793
institutionsCount,397.0
current,1384.9
high,1850.0
low,1300.0
mean,1635.9143
median,1650.0
Normalized EBIT,1237116666666.6667
Normalized Net Income,686570000000.0
