,Value
ticker,RIVN
longName,"Rivian Automotive, Inc."
ROCE,-33.611976593966105
ROCE (3yr avg),-37.6932089848265
NFAT,1.1543374753222622
NFAT (3yr avg),0.8875504771631361
NPM,-208.41282900066346
DPR,0.0
Retention Ratio,100.0
Dep,21.28818494249802
SSGR,-206.26509076895593
Av NPM (over 3 years),-208.41282900066346
Au NFA/T (over 3 years),0.8875504771631361
Av Dep%NFA (over 3 years),21.28818494249802
Au Retention ratio (over 3 years),100.0
d/e,0.6276118586587901
Interest coverage,-14.745283018867925
tax %,-0.1054629824931449
cPAT,-21618000000.0
CFO,-1716000000.0
cCFO,-14256000000.0
cCFO/cPAT,0.6594504579517069
p/a,-28.287042555727737
p/e,inf
EY,-26.729330459640117
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,348.7432197999673
PEG,
no. shares (cr),120.9521515
Current Price,14.68
market cap,17755775840.2
d/e_market,0.32310612904963204
p/s,3.6725757
NFA + CWIP,5002000000.0
Capex,1105000000.0
Capex_from_cashflow_statement,1141000000.0
FCF,-2821000000.0
FCF%,59.43952802359882
FCF_capex_from_cashflow,-2857000000.0
FCF%_capex_from_cashflow,60.19806152549515
DV,0.0
Mcap (cr),1891.743744
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,False
CFO >0,False
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,1.643939393939394
Market Cap,18917437440
Net Income,-4746000000.0
Total Revenue,4970000000.0
Total Assets,15410000000.0
Total Liabilities,8848000000.0
Total Stockholders Equity,9141000000.0
Total Debt,5737000000.0
Cash and Cash Equivalents,192000000.0
Current Assets,10583000000.0
Current Liabilities,2251000000.0
Working Capital,8332000000.0
Operating Cash Flow,-1716000000.0
Capital Expenditure,1141000000.0
Dividends Paid,0
Depreciation & Amortization,1031000000.0
Interest Expense,318000000.0
Income Tax Expense,5000000.0
Shares Outstanding,1209521515
Net Fixed Assets,4381000000.0
Construction in Progress,621000000.0
Net Debt,5545000000.0
3-5yr Average ROA (%),-32.483521762468534
3-5yr Average ROE (%),-43.947526735859874
ROE,-47.358326068003485
ROA,-31.34991631557685
insidersPercentHeld,0.3448
institutionsPercentHeld,0.44528
institutionsFloatPercentHeld,0.67961
institutionsCount,1021.0
current,14.68
high,21.0
low,9.0
mean,14.26087
median,14.0
Normalized EBIT,-5426333333.333333
Normalized Net Income,-5643333333.333333
Research Asset,5115400000.0
R&D Amortization,1480400000.0
Adjusted EBIT (R&D),-4290400000.0
Adjusted Book Equity (R&D),14256400000.0
Adjusted D/E (R&D),0.40241575713363825
Adjusted Invested Capital (R&D),19801400000.0
Adjusted ROC (R&D),-21.69000567536076
Adjusted ROE (R&D),-33.29031171964872
